Adrien Brody
Al Pacino
Anthony Hopkins
Ben Kingsley
Brendan Fraser
Casey Affleck
Cillian Murphy
Colin Firth
Daniel Day-Lewis
Denzel Washington
Dustin Hoffman
Eddie Redmayne
F. Murray Abraham
Forest Whitaker
Gary Oldman
Geoffrey Rush
Henry Fonda
Jack Nicholson
Jamie Foxx
Jean Dujardin
Jeff Bridges
Jeremy Irons
Joaquin Phoenix
Kevin Spacey
Leonardo DiCaprio
Matthew McConaughey
Michael Douglas
Nicolas Cage
Paul Newman
Philip Seymour Hoffman
Rami Malek
Robert De Niro
Robert Duvall
Roberto Benigni
Russell Crowe
Sean Penn
Tom Hanks
Will Smith
William Hurt
