Sissy Spacek
Katharine Hepburn
Meryl Streep
Shirley MacLaine
Sally Field
Geraldine Page
Marlee Matlin
Cher
Jodie Foster
Jessica Tandy
Kathy Bates
Emma Thompson
Holly Hunter
Jessica Lange
Susan Sarandon
Frances McDormand
Helen Hunt
Gwyneth Paltrow
Hilary Swank
Julia Roberts
Halle Berry
Nicole Kidman
Charlize Theron
Reese Witherspoon
Helen Mirren
Marion Cotillard
Kate Winslet
Sandra Bullock
Natalie Portman
Jennifer Lawrence
Cate Blanchett
Julianne Moore
Brie Larson
Emma Stone
Olivia Colman
Renee Zellweger
Jessica Chastain
Michelle Yeoh
Mikey Madison
