title,year,media_type,tmdb_id
Ralph Breaks the Internet,2018,movie,404368
Guardians of the Galaxy Vol. 3,2023,movie,447365
BlacKkKlansman,2018,movie,487558
127 Hours,2010,movie,44115
Pixels,2015,movie,257344
Us,2019,movie,458723
Fifty Shades Darker,2017,movie,341174
Ted 2,2015,movie,214756
Superbad,2007,movie,8363
Snow White and the Seven Dwarfs,1938,movie,408
Lost in Translation,2003,movie,153
Valerian and the City of a Thousand Planets,2017,movie,339964
Midsommar,2019,movie,530385
Don't Breathe,2016,movie,300669
Creed,2015,movie,312221
Constantine,2005,movie,561
Hercules,1997,movie,11970
Shrek Forever After,2010,movie,10192
Life,2017,movie,395992
TRON: Legacy,2010,movie,20526
Percy Jackson & the Olympians: The Lightning Thief,2010,movie,32657
Ocean's Twelve,2004,movie,163
Kung Fu Panda 2,2011,movie,49444
The Thing,1982,movie,1091
Jurassic Park III,2001,movie,331
Fast & Furious,2009,movie,13804
8 Mile,2002,movie,65
Scream,1996,movie,4232
Little Miss Sunshine,2006,movie,773
John Wick: Chapter 4,2023,movie,603692
Children of Men,2006,movie,9693
Rush,2013,movie,96721
Midnight in Paris,2011,movie,59436
Fast & Furious Presents: Hobbs & Shaw,2019,movie,384018
Everything Everywhere All at Once,2022,movie,545611
Big Fish,2003,movie,587
Sausage Party,2016,movie,223702
American Hustle,2013,movie,168672
Cloverfield,2008,movie,7191
F9,2021,movie,385128
50 First Dates,2004,movie,1824
Sully,2016,movie,363676
Grease,1978,movie,621
Hugo,2011,movie,44826
Green Lantern,2011,movie,44912
Despicable Me 3,2017,movie,324852
Dark Shadows,2012,movie,62213
The Boy in the Striped Pyjamas,2008,movie,14574
The Mummy,2017,movie,282035
Juno,2007,movie,7326
The Witch,2016,movie,310131
Scary Movie,2000,movie,4247
The Mummy Returns,2001,movie,1734
Prey,2022,movie,766507
Jack Reacher,2012,movie,75780
Dune: Part Two,2024,movie,693134
Mission: Impossible III,2006,movie,956
Wanted,2008,movie,8909
The Girl with the Dragon Tattoo,2011,movie,65754
The Fast and the Furious: Tokyo Drift,2006,movie,9615
The Croods,2013,movie,49519
Brokeback Mountain,2005,movie,142
Click,2006,movie,9339
Moonlight,2016,movie,376867
The Kissing Booth,2018,movie,454983
Rampage,2018,movie,427641
Cloud Atlas,2012,movie,83542
Mission: Impossible II,2000,movie,955
The Boss Baby,2017,movie,295693
The Last Samurai,2003,movie,616
Captain Phillips,2013,movie,109424
The Irishman,2019,movie,398978
Cinderella,2015,movie,150689
Megamind,2010,movie,38055
The Proposal,2009,movie,18240
Marriage Story,2019,movie,492188
Madagascar: Escape 2 Africa,2008,movie,10527
Hellboy,2004,movie,1487
Tomorrowland,2015,movie,158852
Love Actually,2003,movie,508
Easy A,2010,movie,37735
Mystic River,2003,movie,322
Black Panther: Wakanda Forever,2022,movie,505642
Yes Man,2008,movie,10201
Sleepy Hollow,1999,movie,2668
Pokémon Detective Pikachu,2019,movie,447404
Bullet Train,2022,movie,718930
There Will Be Blood,2007,movie,7345
Angels & Demons,2009,movie,13448
Insidious,2011,movie,49018
Tarzan,1999,movie,37135
A Quiet Place Part II,2021,movie,520763
Neighbors,2014,movie,195589
The Accountant,2016,movie,302946
The Intern,2015,movie,257211
Night at the Museum: Battle of the Smithsonian,2009,movie,18360
Raya and the Last Dragon,2021,movie,527774
The Emperor's New Groove,2000,movie,11688
Bridge of Spies,2015,movie,296098
Warcraft,2016,movie,68735
The Game,1997,movie,2649
Seven Pounds,2008,movie,11321
The Nun,2018,movie,439079
Teenage Mutant Ninja Turtles,2014,movie,98566
Terminator 3: Rise of the Machines,2003,movie,296
The 40 Year Old Virgin,2005,movie,6957
Ad Astra,2019,movie,419704
Hachi: A Dog's Tale,2009,movie,28178
Rio,2011,movie,46195
Prince of Persia: The Sands of Time,2010,movie,9543
Rise of the Guardians,2012,movie,81188
The Expendables 2,2012,movie,76163
Gangs of New York,2002,movie,3131
Cinderella,1950,movie,11224
"Lock, Stock and Two Smoking Barrels",1998,movie,100
RED,2010,movie,39514
Hansel & Gretel: Witch Hunters,2013,movie,60304
The Age of Adaline,2015,movie,293863
Jupiter Ascending,2015,movie,76757
Rear Window,1954,movie,567
Taken 2,2012,movie,82675
mother!,2017,movie,381283
The Others,2001,movie,1933
Mulan,2020,movie,337401
Nerve,2016,movie,328387
Star Trek Beyond,2016,movie,188927
Lilo & Stitch,2002,movie,11544
How to Train Your Dragon: The Hidden World,2019,movie,166428
Batman Returns,1992,movie,364
Rango,2011,movie,44896
Olympus Has Fallen,2013,movie,117263
Dark Phoenix,2019,movie,320288
Super 8,2011,movie,37686
Predestination,2014,movie,206487
Mamma Mia!,2008,movie,11631
Allegiant,2016,movie,262504
Terminator Salvation,2009,movie,534
No Time to Die,2021,movie,370172
Rain Man,1988,movie,380
Pearl Harbor,2001,movie,676
Lion,2016,movie,334543
Black Adam,2022,movie,436270
Jurassic World Dominion,2022,movie,507086
Mulholland Drive,2001,movie,1018
300: Rise of an Empire,2014,movie,53182
Gremlins,1984,movie,927
Pitch Perfect,2012,movie,114150
Eyes Wide Shut,1999,movie,345
It Follows,2015,movie,270303
After Earth,2013,movie,82700
Bad Boys,1995,movie,9737
Jackie Brown,1997,movie,184
The Polar Express,2004,movie,5255
Resident Evil,2002,movie,1576
Gattaca,1997,movie,782
Tropic Thunder,2008,movie,7446
Ocean's Thirteen,2007,movie,298
The Lobster,2015,movie,254320
Oz the Great and Powerful,2013,movie,68728
First Blood,1982,movie,1368
Captain Fantastic,2016,movie,334533
The Man from U.N.C.L.E.,2015,movie,203801
National Treasure,2004,movie,2059
The Blind Side,2009,movie,22881
Alice Through the Looking Glass,2016,movie,241259
Ghostbusters,2016,movie,43074
Little Women,2019,movie,331482
This Is the End,2013,movie,109414
The Godfather Part III,1990,movie,242
Horrible Bosses,2011,movie,51540
Project X,2012,movie,57214
The Chronicles of Narnia: Prince Caspian,2008,movie,2454
Speed,1994,movie,1637
A Good Day to Die Hard,2013,movie,47964
The Purge: Anarchy,2014,movie,238636
Transformers: The Last Knight,2017,movie,335988
Shark Tale,2004,movie,10555
Uncharted,2022,movie,335787
The Devil's Advocate,1997,movie,1813
The Impossible,2012,movie,80278
One Hundred and One Dalmatians,1961,movie,12230
Clash of the Titans,2010,movie,18823
Notting Hill,1999,movie,509
The Jungle Book,1967,movie,9325
Godzilla: King of the Monsters,2019,movie,373571
Dumb and Dumber,1994,movie,8467
The Hitman's Bodyguard,2017,movie,390043
Inferno,2016,movie,207932
Blade,1998,movie,36647
The Book of Eli,2010,movie,20504
The Ring,2002,movie,565
Grown Ups,2010,movie,38365
Atomic Blonde,2017,movie,341013
A.I. Artificial Intelligence,2001,movie,644
Die Hard: With a Vengeance,1995,movie,1572
Glass Onion: A Knives Out Mystery,2022,movie,661374
Bumblebee,2018,movie,424783
Noah,2014,movie,86834
Final Destination,2000,movie,9532
Mrs. Doubtfire,1993,movie,788
Underworld,2003,movie,277
Annabelle,2014,movie,250546
Onward,2020,movie,508439
Happy Death Day,2017,movie,440021
Extraction,2020,movie,545609
Kick-Ass 2,2013,movie,59859
Madagascar 3: Europe's Most Wanted,2012,movie,80321
"Love, Rosie",2014,movie,200727
Kung Fu Panda 3,2016,movie,140300
Van Helsing,2004,movie,7131
The Karate Kid,2010,movie,38575
The Legend of Tarzan,2016,movie,258489
Inside Out 2,2024,movie,1022789
Enola Holmes,2020,movie,497582
Dracula Untold,2014,movie,49017
Dirty Dancing,1987,movie,88
The Conjuring: The Devil Made Me Do It,2021,movie,423108
Training Day,2001,movie,2034
Lara Croft: Tomb Raider,2001,movie,1995
Bolt,2008,movie,13053
Contagion,2011,movie,39538
Maleficent: Mistress of Evil,2019,movie,420809
The Gentlemen,2020,movie,522627
What Happened to Monday,2017,movie,406990
Casino,1995,movie,524
Independence Day: Resurgence,2016,movie,47933
Cloudy with a Chance of Meatballs,2009,movie,22794
From Dusk Till Dawn,1996,movie,755
Fantastic Four,2015,movie,166424
Flight,2012,movie,87502
Stand by Me,1986,movie,235
Ghost Rider,2007,movie,1250
Warm Bodies,2013,movie,82654
Space Jam,1996,movie,2300
The Babadook,2014,movie,242224
Spy,2015,movie,238713
The Matrix Resurrections,2021,movie,624860
Enemy,2014,movie,181886
Red Sparrow,2018,movie,401981
Interview with the Vampire,1994,movie,628
Red Notice,2021,movie,512195
Total Recall,1990,movie,861
The Dictator,2012,movie,76493
Manchester by the Sea,2016,movie,334541
Cars 3,2017,movie,260514
The Magnificent Seven,2016,movie,333484
Meet the Parents,2000,movie,1597
Central Intelligence,2016,movie,302699
Die Hard 2,1990,movie,1573
Monty Python and the Holy Grail,1975,movie,762
Sweeney Todd: The Demon Barber of Fleet Street,2007,movie,13885
Moonrise Kingdom,2012,movie,83666
Ace Ventura: Pet Detective,1994,movie,3049
Alien³,1992,movie,8077
"Love, Simon",2018,movie,449176
Live Free or Die Hard,2007,movie,1571
Inside Man,2006,movie,388
Vertigo,1958,movie,426
Black Hawk Down,2001,movie,855
Mortal Kombat,2021,movie,460465
Fast X,2023,movie,385687
Alice in Wonderland,1951,movie,12092
Hulk,2003,movie,1927
Pinocchio,1940,movie,10895
Game Night,2018,movie,445571
Night at the Museum: Secret of the Tomb,2014,movie,181533
Paul,2011,movie,39513
Ender's Game,2013,movie,80274
The Invisible Man,2020,movie,570670
Mr. Nobody,2009,movie,31011
The Interview,2014,movie,228967
Zombieland: Double Tap,2019,movie,338967
Hitch,2005,movie,8488
Moon,2009,movie,17431
Jumper,2008,movie,8247
The Goonies,1985,movie,9340
Collateral,2004,movie,1538
Signs,2002,movie,2675
Liar Liar,1997,movie,1624
"I, Tonya",2017,movie,389015
Apocalypto,2006,movie,1579
