name,profile_path,first_name,last_name,initials,birthday,birth_year,birth_place,is_ivy,height,movie_credits,tv_credits,popularity
Millie Bobby Brown,/k9KGzGDVhXKfOGpoN62MNuXL28q.jpg,Millie,Brown,MBB,2004-02-19,2004.0,"Marbella, Málaga, Andalusia, Spain",False,,Godzilla vs. Kong,The Drew Barrymore Show|El hormiguero|NCIS|Intruders|Hell's Kitchen|Kids' Choice Awards|Stranger Things|Once Upon a Time in Wonderland|Grey's Anatomy|The Jonathan Ross Show|Modern Family|Carpool Karaoke: The Series|Hot Ones|Beyond Stranger Things|The Tonight Show Starring Jimmy Fallon|The Kelly Clarkson Show|The Tonight Show Starring Jimmy Fallon|Variety Studio: Actors on Actors|The One Show|MTV Movie & TV Awards|Stranger Things|The Tonight Show Starring Jimmy Fallon|Good Morning America,21.8819
Jason Statham,/o7sfT7EBtzxwiJiKmCafoebJQ2q.jpg,Jason,Statham,JS,1967-07-26,1967.0,"Shirebrook, Derbyshire, England, UK",False,,Furious 7|The Fate of the Furious,Jimmy Kimmel Live!|LIVE with Kelly and Mark|The Tonight Show with Jay Leno|The New Tom Green Show|Live from Studio Five|The Tonight Show Starring Jimmy Fallon|Conan O'Brien Must Go,19.4371
Jackie Chan,/nraZoTzwJQPHspAVsKfgl3RXKKa.jpg,Jackie,Chan,JC,1954-04-07,1954.0,"Victoria Peak, Hong Kong",False,,Kung Fu Panda,"Martin|The Chinese Detective|MADtv|Saturday Night Live|Die Harald Schmidt Show|Jackie Chan Adventures|Wetten, dass..?|Running Man|The Graham Norton Show|SMAP×SMAP|The 40th Anniversary of Chinese Film Since China's Reform and Opening-Up|Jackie Chan's Fantasia|Chelsea|The Rosie O'Donnell Show|Too Young to Die|Golden Horse Awards|The Kapil Sharma Show|Century Sonny|Memories Beyond Horizon|TV total|Trump Card|The Incredibly Strange Film Show|Chef Nic|Voice|Stand-up Comedy|Vivement dimanche|Celebrity Talk Show|TFI Friday|星空下的傾情|梅艷芳飛越舞台十載情|The One Show|The Kelly Clarkson Show|Slå på ring",19.1972
Scarlett Johansson,/mjReG6rR7NPMEIWb1T4YWtV11ty.jpg,Scarlett,Johansson,SJ,1984-11-22,1984.0,"New York City, New York, USA",False,,The Prestige|Iron Man 2|The Avengers|Captain America: The Winter Soldier|Avengers: Age of Ultron|Her|Lucy|Captain America: Civil War|Avengers: Infinity War|Black Widow|Jojo Rabbit|Avengers: Endgame,The Rosie O'Donnell Show|Finding Your Roots|WHIH Newsfront|HitRECord on TV with Joseph Gordon-Levitt|Live from E!|Up Close with Carrie Keagan|American Masters|Jimmy Kimmel Live!|The Sharon Osbourne Show|Cinema 3|Close Up|The Queen Latifah Show|Gomorron|MTV Movie & TV Awards|omg! Insider|Tony Awards|Entourage|Cartelera|Ant & Dec's Saturday Night Takeaway|The Late Late Show with Craig Kilborn|The Ellen DeGeneres Show|The Early Show|Late Night with Conan O'Brien|Daybreak|LIVE with Kelly and Mark|Critics Choice Awards|The Client|Late Show with David Letterman|Stand Up to Cancer|Días de cine|Fantástico|Tinseltown TV|Silenci?|Biography|Made in Hollywood|The Daily Show|Guys Choice Awards|Showbiz Tonight|Today|The Tonight Show with Jay Leno|CBS News Sunday Morning|Good Day L.A.|Extra|Le Grand Journal|Brit Awards|The Oscars|Made in Hollywood: Teen Edition|Marvel Studios Legends|RuPaul's Drag Race|Marvel Studios Assembled|Hawkeye|StoryBots: Answer Time|The Tonight Show Starring Jimmy Fallon|The Drew Barrymore Show|The Kelly Clarkson Show|Assassin Banana|Teen Choice Awards|Late Night with Seth Meyers|Saturday Night Live|Saturday Night Live|Goldene Kamera|Entertainment Tonight|Just Cause|Buenas noches y Buenafuente|The Late Show with Stephen Colbert|Robot Chicken|Robot Chicken|Robot Chicken|Robot Chicken|Close Up with The Hollywood Reporter|RuPaul's Drag Race|Hot Ones|Variety Studio: Actors on Actors|Today with Hoda & Jenna|Saturday Night Live|The Oscars|Love Island|You Quiz on the Block|MTV Movie & TV Awards,17.0274
Tom Hanks,/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,Tom,Hanks,TH,1956-07-09,1956.0,"Concord, California, USA",False,,Forrest Gump|Saving Private Ryan|Toy Story|The Green Mile|Catch Me If You Can|Toy Story 3|Cast Away|Toy Story 4|Toy Story 2,"Family Ties|This Morning|Inside the Actors Studio|The Ellen DeGeneres Show|The Daily Show|Life with Bonnie|Today|LIVE with Kelly and Mark|Tales from the Crypt|The View|The Tonight Show with Jay Leno|Bosom Buddies|Happy Days|The Colbert Report|Late Night with Conan O'Brien|Celebrities Uncensored|The Wonderful World of Disney|The Oscars|Last Week Tonight with John Oliver|OK! TV|The National Parks: America's Best Idea|Saturday Night Live|The 2010s|The Sixties|When Ruby Wax Met...|The Late Late Show with James Corden|Die Harald Schmidt Show|From the Earth to the Moon|Wetten, dass..?|Electric City|The Late Late Show with Craig Ferguson|Saturday Night Live|Maya & Marty|1883|Taxi|Late Night with Seth Meyers|American Experience|The Seventies|The War|30 Rock|The Nineties|The Graham Norton Show|Fallen Angels|The Tonight Show Starring Johnny Carson|From the Earth to the Moon|The Rosie O'Donnell Show|Scene by Scene|The Pacific|The Americas|The Graham Norton Show|Bambi|Entertainment Tonight|The Love Boat|Titel, Thesen, Temperamente|Carina Bergfeldt|The Late Show with Stephen Colbert|Close Up with The Hollywood Reporter|Reunited Apart|Primetime Glick|Clint Eastwood: A Cinematic Legacy|Ruby Wax Meets|Prohibition|Koschwitz|The Naked Truth|Kulturplatz|The Late Show with Stephen Colbert|The Greatest Event in Television History|Taff|Conan|The Simpsons|Golden Globe Awards|Golden Globe Awards|Parkinson|Golden Globe Awards|Variety Studio: Actors on Actors|Golden Globe Awards|Golden Globe Awards|The Entertainment Biz|Jimmy Kimmel Live!|Tales from the Crypt - Uncut|The Grammys|Late Night with Seth Meyers|The American Revolution|The American Revolution|SNL50: Beyond Saturday Night|The Colbert Report|The Oscars",16.7774
Elle Fanning,/e8CUyxQSE99y5IOfzSLtHC0B0Ch.jpg,Elle,Fanning,EF,1998-04-09,1998.0,"Conyers, Georgia, USA",False,,Maleficent,House|CSI: Miami|Judging Amy|Taken|CSI: NY|Law & Order: Special Victims Unit|Criminal Minds|MTV Movie & TV Awards|The Tonight Show Starring Jimmy Fallon|The Rosie Show|LIVE with Kelly and Mark|Dirty Sexy Money|The Great|The Late Show with Stephen Colbert|The Lost Room|The Girl from Plainville|Conan|Close Up with The Hollywood Reporter|Variety Studio: Actors on Actors|Margo's Got Money Troubles|No Activity|Robot Chicken|The Tonight Show Starring Jimmy Fallon|The Kelly Clarkson Show|The Oscars|Discretion|Jimmy Kimmel Live!|Late Night with Seth Meyers,15.7693
Robby Benson,/rYcDiM9LrStdlcb80N3WAR2CsHX.jpg,Robby,Benson,RB,1956-01-21,1956.0,"Dallas, Texas, USA",False,,Beauty and the Beast,"The Legend of Prince Valiant|Exosquad|Disney's House of Mouse|Disney's House of Mouse|The New Alfred Hitchcock Presents|American Dreams|The Huntress|The Hitchhiker|Tough Cookies|One Day at a Time|Batman: The Animated Series|Sabrina, the Teenage Witch|Windy City Weekend|The Magic School Bus|Seinfeld|The Mike Douglas Show|Caroline in the City|Severance|Kodiak|Evening Shade",15.6841
Finn Wolfhard,/dQ1Fj2gCwko0Jnt3QEj1GLseXSh.jpg,Finn,Wolfhard,FW,2002-12-23,2002.0,"Vancouver, British Columbia, Canada",False,,It,The 100|The Tonight Show Starring Jimmy Fallon|Kids' Choice Awards|Supernatural|Lip Sync Battle|Smiling Friends|Stranger Things|MTV Movie & TV Awards|Duncanville|Home Movie: The Princess Bride|Carmen Sandiego|Carpool Karaoke: The Series|Scott Pilgrim Takes Off|The Tonight Show Starring Jimmy Fallon|In the Know|Beyond Stranger Things|Hot Ones|Late Night with Seth Meyers|The Kelly Clarkson Show|JJ Villard's Fairy Tales|JJ Villard's Fairy Tales|The Last Leg|The Late Show with Stephen Colbert|Hot Ones Versus|Saturday Night Live|New-Gen|LIVE with Kelly and Mark|Good Morning America,15.125
Matt Damon,/elSlNgV8xVifsbHpFsqrPGxJToZ.jpg,Matt,Damon,MD,1970-10-08,1970.0,"Boston, Massachusetts, USA",True,,Ocean's Eleven|Saving Private Ryan|Good Will Hunting|The Departed|The Martian|Oppenheimer,"Inside the Actors Studio|The Daily Show|The Bernie Mac Show|Today|Entourage|The Tonight Show with Jay Leno|American Idol|The Early Show|Law & Order: Criminal Intent|30 Rock|Will & Grace|The Jay Leno Show|Late Night with Conan O'Brien|Celebrities Uncensored|The Oscars|De Wereld Draait Door|Live from Studio Five|Saturday Night Live|Hot Ones|Women, War & Peace|The Tonight Show Starring Jimmy Fallon|Late Night with Seth Meyers|The Early Show|Encyclopedia of Useless Facts Around The Earth|Jimmy Kimmel Live!|The View|SmartLess: On the Road|The Kelly Clarkson Show|ARES: live|Golden Globe Awards|The Tonight Show Starring Jimmy Fallon|Teen Choice Awards|Saturday Night Live|The Late Show with Stephen Colbert|Entertainment Tonight|Jay Leno's Garage|The Graham Norton Show|MTV Movie & TV Awards|Close Up with The Hollywood Reporter|Firing Line with Margaret Hoover|Off Camera with Sam Jones|Geeking Out|Life of Kylie|Conan|Morgenmagazin|Who Wants to Be a Millionaire|Project Greenlight|Believers: Boston Red Sox|Jimmy Kimmel Live!|Jimmy Kimmel Live!",13.3601
Ana de Armas,/5Qne374OM0ewMM7uSN9eq9jNrWq.jpg,Ana,Armas,AdA,1988-04-30,1988.0,"Santa Cruz del Norte, Cuba",False,,Blade Runner 2049|Knives Out,"Saturday Night Live|Access Hollywood|The Boarding School|Hispania, The Legend|Late Night with Seth Meyers|The Late Show with Stephen Colbert|The Oscars|The Tonight Show Starring Jimmy Fallon|Variety Studio: Actors on Actors|The Oscars|Hot Ones|Quotidien|Golden Globe Awards|The Kelly Clarkson Show|Golden Globe Awards",13.1852
Tom Cruise,/3mShHjSQR7NXOVbdTu5rT2Qd0MN.jpg,Tom,Cruise,TC,1962-07-03,1962.0,"Syracuse, New York, USA",False,,Mission: Impossible - Ghost Protocol|Oblivion|Edge of Tomorrow|Top Gun: Maverick,"Prime Time LIVE|Inside the Actors Studio|The Ellen DeGeneres Show|The One Show|The Chaser's War on Everything|The View|The Tonight Show with Jay Leno|Web Junk 20|American Idol|The Early Show|The Colbert Report|Rove|The Jay Leno Show|The Colbert Report|Celebrities Uncensored|Diary|The Jonathan Ross Show|The Oscars|Van Der Vorst Ziet Sterren|GMTV|Live from Studio Five|Pretty Baby: Brooke Shields|The Daily Show|Wetten, dass..?|Jimmy Kimmel Live!|The Graham Norton Show|Top Gear|The Tonight Show Starring Jimmy Fallon|Bambi|Running Man|Icons Unearthed: Tom Cruise|The Graham Norton Show|Simone Biles Rising|Run Jin|Golden Globe Awards",13.1299
Anne Hathaway,/s6tflSD20MGz04ZR2R1lZvhmC4Y.jpg,Anne,Hathaway,AH,1982-11-12,1982.0,"Brooklyn, New York City, New York, USA",False,,Alice in Wonderland|The Dark Knight Rises|The Devil Wears Prada|Interstellar,The Simpsons|The Ellen DeGeneres Show|Family Guy|The Daily Show|LIVE with Kelly and Mark|The Early Show|WeCrashed|The Tonight Show with Jay Leno|Get Real|Late Night with Conan O'Brien|Solos|E! True Hollywood Story|Live from Studio Five|Saturday Night Live|HitRECord on TV with Joseph Gordon-Levitt|Lip Sync Battle|Family Guy|Family Guy|RuPaul's Drag Race|Kids' Choice Awards|Late Night with Seth Meyers|MTV Movie & TV Awards|The Late Show with Stephen Colbert|The Tonight Show Starring Jimmy Fallon|The Reichen Show|Teen Choice Awards|Watch What Happens Live with Andy Cohen|Saturday Night Live|Variety Studio: Actors on Actors|History 101|Jimmy Kimmel Live!|The Graham Norton Show|The View|The View|Entertainment Tonight|StoryBots: Answer Time|On Air with Ryan Seacrest|The Graham Norton Show|The Kelly Clarkson Show|Modern Love|MTV Movie & TV Awards|The Simpsons|Documentary Now!|Late Night with Jimmy Fallon|Between Two Ferns with Zach Galifianakis|Conan|Jimmy Kimmel Live!|Fear Not|The Oscars,12.4428
Vin Diesel,/nZdVry7lnUkE24PnXakok9okvL4.jpg,Vin,Diesel,VD,1967-07-18,1967.0,"Alameda County, California, USA",False,,Saving Private Ryan|The Fast and the Furious|Fast & Furious 6|Guardians of the Galaxy|Furious 7|Guardians of the Galaxy Vol. 2|The Fate of the Furious,The Ellen DeGeneres Show|EP Daily|The Daily Show|The Tonight Show with Jay Leno|Web Junk 20|Late Night with Conan O'Brien|ARK: The Animated Series|The Late Show with Stephen Colbert|The Late Late Show with Craig Kilborn|CelebriD&D|Marvel Studios Legends|Fast & Furious Spy Racers|I Am Groot|The Kelly Clarkson Show|The Reichen Show|Taff|The Tonight Show Starring Jimmy Fallon|Golden Globe Awards|Conan O'Brien Must Go|Jimmy Kimmel Live!|People's Choice Awards,12.1321
Dafne Keen,/g325OIjIHrFr0te8ewPfhKQ2SKj.jpg,Dafne,Keen,DK,2005-01-04,2005.0,"Fuenlabrada, Madrid, Spain",False,,Logan,La resistencia|The Refugees|His Dark Materials|The Acolyte|El hormiguero,11.5818
Morgan Freeman,/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,Morgan,Freeman,MF,1937-06-01,1937.0,"Memphis, Tennessee, USA",False,,Million Dollar Baby|The Dark Knight|Batman Begins|The Shawshank Redemption|Bruce Almighty|Se7en|The Dark Knight Rises|Oblivion|Now You See Me|Lucy|Now You See Me 2,"Inside the Actors Studio|The Ellen DeGeneres Show|Today|The Twilight Zone|LIVE with Kelly and Mark|The View|The Tonight Show with Jay Leno|Scooby-Doo and Guess Who?|The Electric Company|The Jay Leno Show|The Late Show with Stephen Colbert|Late Night with Conan O'Brien|Hallmark Hall of Fame|The Civil War|Pebble Mill|Slavery and the Making of America|The Oscars|The Kennedy Center Honors|Live from Studio Five|30 for 30|Through the Wormhole|Saturday Night Live|The Promised Land|The Daily Show|100 Years of Warner Bros.|History's Greatest Escapes with Morgan Freeman|The Late Late Show with Craig Ferguson|Curiosity|Spidey Super Stories|The Story of God with Morgan Freeman|Spidey Super Stories|Spidey Super Stories|Spidey Super Stories|The Chris Rock Show|Lioness|The Muppets Mayhem|CBS News Sunday Morning|The Graham Norton Show|The Story of Us with Morgan Freeman|Late Night with Seth Meyers|60 Minutes|American Experience|America Beyond the Color Line|The Atlanta Child Murders|Hallmark Hall of Fame|The Reichen Show|The Tonight Show Starring Jimmy Fallon|American Masters|Shelley Duvall's Bedtime Stories|Goldene Kamera|Our Universe|Life on Our Planet|Solos|Clint Eastwood: A Cinematic Legacy|Roll of Thunder, Hear My Cry|HBO First Look|Great Performances|Tony Awards|Golden Globe Awards|Jimmy Kimmel Live!|Parkinson|Golden Globe Awards|Golden Globe Awards|The American Film Institute Salute to ...|Golden Globe Awards|The Jennifer Hudson Show|Number One on the Call Sheet|Madam Secretary|Madam Secretary|The Oscars|Solos|Mark Twain Prize|The American Revolution",11.075
