id,title,vote_count,popularity
24428,The Avengers,35343,74.9698
76600,Avatar: The Way of Water,13584,54.5396
19995,Avatar,33316,48.0098
157336,Interstellar,38689,46.2978
269149,Zootopia,17554,37.6496
238,The Godfather,22351,31.7166
597,Titanic,26696,29.9688
278,The Shawshank Redemption,29587,30.3102
299536,Avengers: Infinity War,31380,30.3564
27205,Inception,38556,31.7893
120,The Lord of the Rings: The Fellowship of the Ring,26873,28.1576
155,The Dark Knight,35042,24.8172
634649,Spider-Man: No Way Home,21474,26.3134
10138,Iron Man 2,22000,24.8553
862,Toy Story,19476,21.4327
496243,Parasite,20004,22.5214
38757,Tangled,12136,24.8044
671,Harry Potter and the Philosopher's Stone,29060,26.4944
354912,Coco,20588,22.4036
122,The Lord of the Rings: The Return of the King,25910,23.8707
872585,Oppenheimer,11244,22.7067
808,Shrek,18312,23.7508
550,Fight Club,31301,21.0853
497,The Green Mile,18755,21.5816
361743,Top Gun: Maverick,10515,22.0185
109445,Frozen,17298,21.5124
321612,Beauty and the Beast,15885,20.3855
603,The Matrix,27262,23.1537
372058,Your Name.,12241,20.497
680,Pulp Fiction,29579,20.1884
438631,Dune,14347,23.2052
346698,Barbie,10692,20.9998
863,Toy Story 2,14586,20.4868
240,The Godfather Part II,13517,19.3982
198663,The Maze Runner,17812,21.4904
13,Forrest Gump,29140,21.04
672,Harry Potter and the Chamber of Secrets,23174,19.1874
854,The Mask,10963,15.7769
807,Se7en,22512,17.5993
674,Harry Potter and the Goblet of Fire,21772,20.024
216015,Fifty Shades of Grey,12232,20.5557
673,Harry Potter and the Prisoner of Azkaban,22756,19.9757
122917,The Hobbit: The Battle of the Five Armies,15043,19.2204
346364,It,20020,18.1437
1865,Pirates of the Caribbean: On Stranger Tides,14696,18.6009
315635,Spider-Man: Homecoming,22772,15.4613
502356,The Super Mario Bros. Movie,10216,20.1889
105,Back to the Future,21308,18.6031
49026,The Dark Knight Rises,23913,16.7178
