Team	Player	SH	SG	GL
CIV	Didier Diomande	0	0	0
CIV	Koffi Kouassi	0	0	0
CIV	Aka Dah	0	0	0
CIV	Moussa Amani	0	0	0
CIV	Yao Sanogo	0	0	0
CIV	Kouame Ouattara	0	0	0
NGA	Yahaya Saidu	0	0	0
NGA	Yusuf Aliyu	0	0	0
NGA	Sani Hassan	0	0	0
NGA	Musa Musa	0	0	0
NGA	Umar Abubakar	0	0	0
NGA	Moses Okeke	0	0	0
MAL	Bakary Guindo	0	0	0
MAL	Amadou Traore	0	0	0
MAL	Oumar Sangare	0	0	0
MAL	Sidiki Togola	0	0	0
MAL	Karim Djire	0	0	0
MAL	Dramane Bagayoko	0	0	0
CAM	Andre Moussa	0	0	0
CAM	Jean Mengue	0	0	0
CAM	Pierre Ngono	0	0	0
CAM	Joseph Sali	0	0	0
CAM	Emmanuel Alhadji	0	0	0
CAM	Samuel Ngah	0	0	0
SEN	Papa	0	0	0
SEN	Ousmane Diop	0	0	0
SEN	Samba Sene	0	0	0
SEN	Elhadji Ka	0	0	0
SEN	Cheikh Diagne	0	0	0
SEN	Mbaye Cisse	0	0	0
ALG	Salah Saidi	0	0	0
ALG	Abdel Dahmani	0	0	0
ALG	Said Taleb	0	0	0
ALG	Ali Brahimi	0	0	0
ALG	Mohamed Benyahia	0	0	0
ALG	Amar Touati	0	0	0
MOR	Mohamed Alaoui	0	0	0
MOR	Nabil Karim	0	0	0
MOR	Mustapha Alaoui	0	0	0
MOR	Rachid Tahiri	0	0	0
MOR	Hicham El-Mostafa	0	0	0
MOR	Mohammed El-Idrissi	0	0	0
BF	Hamid Koanda	0	0	0
BF	Abdoul Lankoande	0	0	0
BF	Boukare Diallo	0	0	0
BF	Ousmane Nana	0	0	0
BF	Zakaria Kabore	0	0	0
BF	Moussa Yameogo	0	0	0
EGY	Rachim Azzizi	0	0	0
EGY	Khalif Karam	0	0	0
EGY	Abo Samir	0	0	0
EGY	Hassan Elsayed	0	0	0
EGY	Sherif Farouk	0	0	0
EGY	Mostafa Salah	0	0	0
TUN	Abdel Al-Hamami	0	0	0
TUN	Tarek El-Hadi	0	0	0
TUN	Med Mansour	0	0	0
TUN	Manel Trabelsi	0	0	0
TUN	Ali Cherif	0	0	0
TUN	Karim Mohamed	0	0	0
	
Team	Player	SV	SO	GA
CIV	Brahima Kamagate	0	0	0
NGA	Sunday Eze	0	0	0
MAL	Sekou Kante	0	0	0
CAM	Martin Hamadou	0	0	0
SEN	Mo Diallo	0	0	0
ALG	Ahmed Mansouri	0	0	0
MOR	Abdel Aziz	0	0	0
BF	Issa Sore	0	0	0
EGY	Omar Mady	0	0	0
TUN	Kamal Ben-Amor	0	0	0
