Team	Player	SH	SG	GL
NGA	Yahaya Saidu	16	11	6
NGA	Yusuf Aliyu	3	1	0
NGA	Sani Hassan	11	3	1
NGA	Musa Musa	8	2	1
NGA	Umar Abubakar	4	1	0
NGA	Moses Okeke	5	0	0
CAM	Andre Moussa	27	12	3
CAM	Jean Mengue	12	8	5
CAM	Pierre Ngono	15	5	3
CAM	Joseph Sali	4	2	0
CAM	Emmanuel Alhadji	6	3	0
CAM	Samuel Ngah	6	5	2
SEN	Papa	17	9	3
SEN	Ousmane Diop	6	0	0
SEN	Samba Sene	7	4	1
SEN	Elhadji Ka	5	2	2
SEN	Cheikh Diagne	1	1	1
SEN	Mbaye Cisse	1	1	0
ALG	Salah Saidi	9	3	0
ALG	Abdel Dahmani	5	3	1
ALG	Said Taleb	6	5	1
ALG	Ali Brahimi	1	0	0
ALG	Mohamed Benyahia	1	0	0
ALG	Amar Touati	1	0	0
MOR	Mohamed Alaoui	18	9	2
MOR	Nabil Karim	20	10	1
MOR	Mustapha Alaoui	19	7	3
MOR	Rachid Tahiri	15	4	2
MOR	Hicham El-Mostafa	2	1	0
MOR	Mohammed El-Idrissi	5	4	3
BF	Hamid Koanda	5	0	0
BF	Abdoul Lankoande	9	3	2
BF	Boukare Diallo	2	0	0
BF	Ousmane Nana	2	2	2
BF	Zakaria Kabore	5	2	1
BF	Moussa Yameogo	0	0	0
	
Team	Player	SV	SO	GA
NGA	Sunday Eze	18	29	11
CAM	Martin Hamadou	16	20	4
SEN	Mo Diallo	7	16	9
ALG	Ahmed Mansouri	5	9	4
MOR	Abdel Aziz	17	28	11
BF	Issa Sore	14	21	7
