Team	Player	SH	SG	GL
NGA	Yahaya Saidu	0	0	0
NGA	Yusuf Aliyu	0	0	0
NGA	Sani Hassan	0	0	0
NGA	Musa Musa	0	0	0
NGA	Umar Abubakar	0	0	0
NGA	Moses Okeke	0	0	0
CAM	Andre Moussa	0	0	0
CAM	Jean Mengue	0	0	0
CAM	Pierre Ngono	0	0	0
CAM	Joseph Sali	0	0	0
CAM	Emmanuel Alhadji	0	0	0
CAM	Samuel Ngah	0	0	0
SEN	Papa	0	0	0
SEN	Ousmane Diop	0	0	0
SEN	Samba Sene	0	0	0
SEN	Elhadji Ka	0	0	0
SEN	Cheikh Diagne	0	0	0
SEN	Mbaye Cisse	0	0	0
ALG	Salah Saidi	0	0	0
ALG	Abdel Dahmani	0	0	0
ALG	Said Taleb	0	0	0
ALG	Ali Brahimi	0	0	0
ALG	Mohamed Benyahia	0	0	0
ALG	Amar Touati	0	0	0
MOR	Mohamed Alaoui	0	0	0
MOR	Nabil Karim	0	0	0
MOR	Mustapha Alaoui	0	0	0
MOR	Rachid Tahiri	0	0	0
MOR	Hicham El-Mostafa	0	0	0
MOR	Mohammed El-Idrissi	0	0	0
BF	Hamid Koanda	0	0	0
BF	Abdoul Lankoande	0	0	0
BF	Boukare Diallo	0	0	0
BF	Ousmane Nana	0	0	0
BF	Zakaria Kabore	0	0	0
BF	Moussa Yameogo	0	0	0
	
Team	Player	SV	SO	GA
NGA	Sunday Eze	0	0	0
CAM	Martin Hamadou	0	0	0
SEN	Mo Diallo	0	0	0
ALG	Ahmed Mansouri	0	0	0
MOR	Abdel Aziz	0	0	0
BF	Issa Sore	0	0	0
