Team	Player	SH	SG	GL
SK	Kwon Seung-Hyeok	62	40	4
SK	Park Hyeon-Bin	77	44	8
SK	Kim Si-Yeon	22	12	1
SK	Kim Min-Jun	18	11	1
SK	Song Do-Hu	16	9	2
SK	Park Jun-Seo	13	8	2
JAP	Koji Suzuki	52	35	6
JAP	Akira Maeda	33	18	2
JAP	Hideo Ogawa	22	10	1
JAP	Yukio Ono	36	16	5
JAP	Hiroshi Ito	15	4	0
JAP	Kenji Yamaguchi	22	14	4
GEO	Zaza Gelashvili	47	30	3
GEO	Levan Tsiklauri	54	31	7
GEO	Nikoloz Kapanadze	38	16	1
GEO	Aleqsandre Beridze	36	19	1
GEO	Davit Mamedova	4	2	0
GEO	Giorgi Gogoladze	5	5	1
UZB	Sherzod Usmanova	54	26	3
UZB	Ravshan Karimov	51	27	4
UZB	Akmal Umarov	31	18	2
UZB	Rustam Yuspov	20	13	2
UZB	Anvar Ibragimov	6	3	0
UZB	Timur Rakhimov	10	6	1
IRQ	Khaled Obaid	46	23	5
IRQ	Abdullah Kazem	49	28	7
IRQ	Mahmoud Abdul-Karim	21	11	3
IRQ	Sajjad Ali	29	12	1
IRQ	Mohamed Khalaf	9	4	1
IRQ	Haidar Salman	10	3	1
IRN	Ali Mousavi	69	32	3
IRN	Hassan Mohammadi	32	19	5
IRN	Amir Zare	38	24	4
IRN	Saeed Sadeghi	11	6	3
IRN	Hamid Bagheri	8	4	0
IRN	Seyyed Ghasemi	7	4	2
JOR	Omar Al-Zubi	56	36	5
JOR	Omar Al-Khawaldeh	66	34	6
JOR	Bilal El-Qadah	15	10	1
JOR	Ibrahim Odeh	10	5	1
JOR	Zaid Eid	10	5	0
JOR	Abdel Allah	11	2	1
ISR	Miykhael Cohen	43	19	4
ISR	Daniyel Mahagna	26	16	2
ISR	David Mhamid	19	7	2
ISR	Avraham Agbaria	19	10	0
ISR	Eliyahu Weiss	17	9	4
ISR	Omer Lavyan	18	5	1
QAT	Fahad Ali	50	25	3
QAT	Sunil Sharma	51	33	3
QAT	Ramesh Shrestha	30	19	3
QAT	Arshad Yadav	22	12	2
QAT	Faisal Almarri	6	2	0
QAT	Syed Rahman	9	3	0
SA	Nasir Siddiqui	57	24	2
SA	Nabeel Saad	46	26	3
SA	Tareq Al-Ghamdi	43	18	5
SA	Shahid Khan	18	10	1
SA	Atif Omar	11	8	2
SA	Zuhair Hassan	12	5	1
	
Team	Player	SV	SO	GA
SK	Nam Min-Jae	67	81	14
JAP	Tadashi Sato	63	75	12
GEO	Mikheil Maruashvili	87	106	19
UZB	Alisher Abudllayev	92	109	17
IRQ	Qasim Jawad	78	92	14
IRN	Reza Jafari	71	83	12
JOR	Raed Khatib	80	97	17
ISR	Yosef Peretz	94	108	14
QAT	Rajeev Ali	79	90	11
SA	Hany Alzahrani	71	89	18
