Team	Player	SH	SG	GL
SK	Kwon Seung-Hyeok	11	4	1
SK	Park Hyeon-Bin	17	7	4
SK	Kim Si-Yeon	5	2	0
SK	Kim Min-Jun	7	3	1
SK	Song Do-Hu	1	1	0
SK	Park Jun-Seo	1	0	0
GEO	Zaza Gelashvili	11	6	3
GEO	Levan Tsiklauri	17	13	2
GEO	Nikoloz Kapanadze	8	4	1
GEO	Aleqsandre Beridze	4	3	0
GEO	Davit Mamedova	1	1	1
GEO	Giorgi Gogoladze	1	0	0
IRQ	Khaled Obaid	13	4	1
IRQ	Abdullah Kazem	9	3	1
IRQ	Mahmoud Abdul-Karim	7	1	0
IRQ	Sajjad Ali	7	4	1
IRQ	Mohamed Khalaf	2	0	0
IRQ	Haidar Salman	1	0	0
JOR	Omar Al-Zubi	29	10	2
JOR	Omar Al-Khawaldeh	20	3	2
JOR	Bilal El-Qadah	6	3	2
JOR	Ibrahim Odeh	9	4	0
JOR	Zaid Eid	4	1	1
JOR	Abdel Allah	4	0	0
ISR	Miykhael Cohen	6	3	1
ISR	Daniyel Mahagna	4	1	0
ISR	David Mhamid	2	0	0
ISR	Avraham Agbaria	10	3	0
ISR	Eliyahu Weiss	2	1	0
ISR	Omer Lavyan	2	1	1
QAT	Fahad Ali	12	5	1
QAT	Sunil Sharma	12	4	1
QAT	Ramesh Shrestha	8	6	3
QAT	Arshad Yadav	8	4	3
QAT	Faisal Almarri	2	1	0
QAT	Syed Rahman	6	5	3
	
Team	Player	SV	SO	GA
SK	Nam Min-Jae	14	23	9
GEO	Mikheil Maruashvili	7	13	6
IRQ	Qasim Jawad	13	19	6
JOR	Raed Khatib	19	28	9
ISR	Yosef Peretz	13	16	3
QAT	Rajeev Ali	9	12	3
