Team	Player	SH	SG	GL
SK	Kwon Seung-Hyeok	0	0	0
SK	Park Hyeon-Bin	0	0	0
SK	Kim Si-Yeon	0	0	0
SK	Kim Min-Jun	0	0	0
SK	Song Do-Hu	0	0	0
SK	Park Jun-Seo	0	0	0
GEO	Zaza Gelashvili	0	0	0
GEO	Levan Tsiklauri	0	0	0
GEO	Nikoloz Kapanadze	0	0	0
GEO	Aleqsandre Beridze	0	0	0
GEO	Davit Mamedova	0	0	0
GEO	Giorgi Gogoladze	0	0	0
IRQ	Khaled Obaid	0	0	0
IRQ	Abdullah Kazem	0	0	0
IRQ	Mahmoud Abdul-Karim	0	0	0
IRQ	Sajjad Ali	0	0	0
IRQ	Mohamed Khalaf	0	0	0
IRQ	Haidar Salman	0	0	0
JOR	Omar Al-Zubi	0	0	0
JOR	Omar Al-Khawaldeh	0	0	0
JOR	Bilal El-Qadah	0	0	0
JOR	Ibrahim Odeh	0	0	0
JOR	Zaid Eid	0	0	0
JOR	Abdel Allah	0	0	0
ISR	Miykhael Cohen	0	0	0
ISR	Daniyel Mahagna	0	0	0
ISR	David Mhamid	0	0	0
ISR	Avraham Agbaria	0	0	0
ISR	Eliyahu Weiss	0	0	0
ISR	Omer Lavyan	0	0	0
QAT	Fahad Ali	0	0	0
QAT	Sunil Sharma	0	0	0
QAT	Ramesh Shrestha	0	0	0
QAT	Arshad Yadav	0	0	0
QAT	Faisal Almarri	0	0	0
QAT	Syed Rahman	0	0	0
	
Team	Player	SV	SO	GA
SK	Nam Min-Jae	0	0	0
GEO	Mikheil Maruashvili	0	0	0
IRQ	Qasim Jawad	0	0	0
JOR	Raed Khatib	0	0	0
ISR	Yosef Peretz	0	0	0
QAT	Rajeev Ali	0	0	0
