Team	Player	SH	SG	GL
GER	Gerhard Muller	81	37	5
GER	Helmut Lange	45	26	4
GER	Jurgen Richter	31	14	1
GER	Wolfgang Koch	34	14	4
GER	Hans Weber	11	7	0
GER	Manfred Fischer	10	5	2
ITA	Giovanni Ricci	73	34	12
ITA	Giovanni Rossi	74	45	9
ITA	Pietro Greco	40	17	7
ITA	Salvatore Moretti	13	5	1
ITA	Giuseppe Giordano	14	7	3
ITA	Francesco Caruso	14	5	2
AUS	Karl Mayer	65	34	7
AUS	Franz Leitner	53	16	3
AUS	Josef Steiner	28	17	3
AUS	Johann Brunner	38	15	5
AUS	Andreas Schwarz	10	1	0
AUS	Gerhard Bauer	9	4	2
SER	Dragan Petrovic	85	37	10
SER	Aleksandar Milosevic	36	17	6
SER	Jovan Trajkovic	41	20	1
SER	Zoran Ilic	35	18	4
SER	Petar Stojanovic	13	6	0
SER	Slobodan Krstic	11	4	1
RUS	Ivan Popova	62	32	5
RUS	Maksim Volkova	47	22	5
RUS	Sergey Petrov	43	22	7
RUS	Aleksandr Kuznetsov	29	14	4
RUS	Vladimir Novikov	24	13	1
RUS	Andrey Ivanova	13	5	0
SCO	John Campbell III	55	28	6
SCO	Ian Murray	49	29	4
SCO	Charles Stewart	27	14	3
SCO	Thomas Anderson	23	12	3
SCO	Stephen MacDonald	11	3	0
SCO	Craig Henderson	7	3	1
CRO	Niko Lovric	76	35	10
CRO	Ivica Vidovic	56	31	4
CRO	Franja Blazevic	32	13	3
CRO	Roberjt Grgic	44	25	3
CRO	Stjepan Novosel	16	11	5
CRO	Zlatko Novak	17	6	1
SWE	Kjell Carlsson	40	22	4
SWE	Nils Pettersson	42	19	6
SWE	Anders Lindstrom	28	13	3
SWE	Fredrik Johansson	24	11	4
SWE	Lars Jonsson	24	17	5
SWE	Karl Olsson	16	8	0
UKR	Yuryi Melnyk	50	23	8
UKR	Anatolyi Pavlenko	39	17	6
UKR	Vasylyi Yvanova	40	15	0
UKR	Vyktor Kovalenko	24	11	0
UKR	Nykolai Moroz	22	11	2
UKR	Aleksandr Olyinyk	17	8	0
CZE	Jan Prochazka	62	29	3
CZE	Vaclav Dvorak	76	37	9
CZE	Petr Navratil	27	7	1
CZE	Michal Fialova	29	16	2
CZE	Miroslav Svoboda	13	5	1
CZE	Pavel Vesela	15	9	2
GRE	Spyridon Karagiannis	60	29	6
GRE	Georgios Nikolaidis	21	8	3
GRE	Evangelos Mylonas	28	14	0
GRE	Stavros Giannopoulos	27	13	2
GRE	Dimitrios Papadopoulos	26	12	1
GRE	Konstantin Anastasiou	19	10	1
ESP	Diego Castillo	78	42	6
ESP	Vicente Garcia	57	26	5
ESP	Alvaro Vazquez	27	18	6
ESP	Alejandro Garcia	35	19	3
ESP	Rafael Delgado	10	5	2
ESP	Jose Romero	8	3	1
ENG	Neil Griffith	63	30	7
ENG	Simon Knight	68	24	5
ENG	Benjamin Webb	39	18	3
ENG	Stuart Holmes	30	16	3
ENG	Graham Chapman	17	5	1
ENG	Nigel Price	13	6	2
TUR	Yusuf Guler	53	26	7
TUR	Mustafa Simsek	48	32	8
TUR	Huseyin Sahin	34	17	4
TUR	Omer Koc	31	14	3
TUR	Mehmet Celik	23	8	3
TUR	Ramazan Yilmaz	29	12	2
WAL	Colin Pugh	62	34	11
WAL	Craig Young	53	23	8
WAL	Malcolm Hopkins	26	12	2
WAL	Adrian Llewellyn	30	11	2
WAL	Rhys Howells	12	3	2
WAL	Clive Jones	12	8	3
HUN	Gabor Toth	62	24	4
HUN	Sandor Toth	61	33	10
HUN	Istvan Kiss	35	18	1
HUN	Zoltan Kocsis	31	13	3
HUN	Laszlo Kovacs	11	5	1
HUN	Jozsef Szabo	11	5	0
FRA	Olivier Rousseau	77	39	8
FRA	Dominique Girard	63	30	4
FRA	Jacques Lemaire	31	18	4
FRA	Bernard Michel	36	18	4
FRA	Rene Chevalier	8	5	0
FRA	Jean Gauthier	11	5	0
NOR	Svein Berg	50	18	5
NOR	Kjell Nilsen	50	21	1
NOR	Geir Gundersen	38	13	6
NOR	Jan Johansen	40	10	2
NOR	Arne Hagen	17	5	2
NOR	Erik Olsen	18	8	1
BEL	Jean-Pierre de Clercq	75	31	3
BEL	Alain Goossens	22	10	2
BEL	Vincent van de Velde	55	32	8
BEL	Marc Renard	29	10	3
BEL	Geert Verhoeven	14	7	2
BEL	Christian Janssen	16	14	2
DEN	Niels Jensen	78	31	7
DEN	Lars Moller	59	23	7
DEN	Soren Holm	28	16	3
DEN	Morten Rasmussen	36	19	0
DEN	Henrik Mikkelsen	9	4	0
DEN	Jesper Thomsen	12	6	2
NED	Richard van der Heijden	55	26	2
NED	Jan van Dijk	44	25	10
NED	Rob Brouwer	38	17	0
NED	Peter Meijer	29	18	7
NED	Jeroen de Jong	13	6	1
NED	Martijn van den Berg	15	7	2
POR	Ricardo Goncalves	69	32	5
POR	Joao Silva	67	36	6
POR	Carlos Pereira	31	10	2
POR	Sergio Alves	23	9	2
POR	Fernando Ribiero	16	8	2
POR	Vitor Correia	14	7	1
SUI	Peter Buhler	53	21	7
SUI	Andreas Wyss	48	23	8
SUI	Werner Frei	33	12	0
SUI	Stefan Meier	25	9	2
SUI	Marcel Roth	21	7	2
SUI	Rolf Bachmann	17	5	1
POL	Pawel Lewandowski	84	38	9
POL	Grzegorz Kowalski	50	23	4
POL	Jacek Majewski	22	8	2
POL	Andrzej Nowak	23	7	1
POL	Krzysztof Sikora	18	9	0
POL	Tomasz Zajac	20	7	2
	
Team	Player	SV	SO	GA
GER	Klaus Bauer	74	88	14
ITA	Antonio de Luca	81	96	15
AUS	Martin Lang	90	113	23
SER	Tomislav Rakic	64	89	25
RUS	Dmitriy Shevchenko	90	109	19
SCO	Kenneth Wright	88	111	23
CRO	Miroslav Pavlovic	59	72	13
SWE	Sven Sjoberg	88	114	26
UKR	Serhei Tkachenko	75	104	29
CZE	Jiri Novakova	74	100	26
GRE	Ilias Vasileiadis	87	111	24
ESP	Enrique Ortega	81	93	12
ENG	Stephen Hunt	79	92	13
TUR	Ahmet Ozcan	76	99	23
WAL	Neil Wright	87	112	25
HUN	Janos Meszaros	87	112	25
FRA	Pierre Blanchard	70	85	15
NOR	Lars Pedersen	62	95	33
BEL	Eddy van den Broeck	55	71	16
DEN	Jens Clausen	86	107	21
NED	Marcel Kuiper	84	104	20
POR	Pedro Reis	86	98	12
SUI	Markus Schneider	70	95	25
POL	Piotr Nowicki	69	90	21
