Team	Player	SH	SG	GL
GER	Gerhard Muller	0	0	0
GER	Helmut Lange	0	0	0
GER	Jurgen Richter	0	0	0
GER	Wolfgang Koch	0	0	0
GER	Hans Weber	0	0	0
GER	Manfred Fischer	0	0	0
ITA	Giovanni Ricci	0	0	0
ITA	Giovanni Rossi	0	0	0
ITA	Pietro Greco	0	0	0
ITA	Salvatore Moretti	0	0	0
ITA	Giuseppe Giordano	0	0	0
ITA	Francesco Caruso	0	0	0
AUS	Karl Mayer	0	0	0
AUS	Franz Leitner	0	0	0
AUS	Josef Steiner	0	0	0
AUS	Johann Brunner	0	0	0
AUS	Andreas Schwarz	0	0	0
AUS	Gerhard Bauer	0	0	0
SER	Dragan Petrovic	0	0	0
SER	Aleksandar Milosevic	0	0	0
SER	Jovan Trajkovic	0	0	0
SER	Zoran Ilic	0	0	0
SER	Petar Stojanovic	0	0	0
SER	Slobodan Krstic	0	0	0
RUS	Ivan Popova	0	0	0
RUS	Maksim Volkova	0	0	0
RUS	Sergey Petrov	0	0	0
RUS	Aleksandr Kuznetsov	0	0	0
RUS	Vladimir Novikov	0	0	0
RUS	Andrey Ivanova	0	0	0
SCO	John Campbell III	0	0	0
SCO	Ian Murray	0	0	0
SCO	Charles Stewart	0	0	0
SCO	Thomas Anderson	0	0	0
SCO	Stephen MacDonald	0	0	0
SCO	Craig Henderson	0	0	0
CRO	Niko Lovric	0	0	0
CRO	Ivica Vidovic	0	0	0
CRO	Franja Blazevic	0	0	0
CRO	Roberjt Grgic	0	0	0
CRO	Stjepan Novosel	0	0	0
CRO	Zlatko Novak	0	0	0
SWE	Kjell Carlsson	0	0	0
SWE	Nils Pettersson	0	0	0
SWE	Anders Lindstrom	0	0	0
SWE	Fredrik Johansson	0	0	0
SWE	Lars Jonsson	0	0	0
SWE	Karl Olsson	0	0	0
UKR	Yuryi Melnyk	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
UKR	Vasylyi Yvanova	0	0	0
UKR	Vyktor Kovalenko	0	0	0
UKR	Nykolai Moroz	0	0	0
UKR	Aleksandr Olyinyk	0	0	0
CZE	Jan Prochazka	0	0	0
CZE	Vaclav Dvorak	0	0	0
CZE	Petr Navratil	0	0	0
CZE	Michal Fialova	0	0	0
CZE	Miroslav Svoboda	0	0	0
CZE	Pavel Vesela	0	0	0
GRE	Spyridon Karagiannis	0	0	0
GRE	Georgios Nikolaidis	0	0	0
GRE	Evangelos Mylonas	0	0	0
