Team	Player	SH	SG	GL
AUS	Karl Mayer	0	0	0
AUS	Franz Leitner	0	0	0
AUS	Josef Steiner	0	0	0
AUS	Johann Brunner	0	0	0
AUS	Andreas Schwarz	0	0	0
AUS	Gerhard Bauer	0	0	0
SER	Dragan Petrovic	0	0	0
SER	Aleksandar Milosevic	0	0	0
SER	Jovan Trajkovic	0	0	0
SER	Zoran Ilic	0	0	0
SER	Petar Stojanovic	0	0	0
SER	Slobodan Krstic	0	0	0
RUS	Ivan Popova	0	0	0
RUS	Maksim Volkova	0	0	0
RUS	Sergey Petrov	0	0	0
RUS	Aleksandr Kuznetsov	0	0	0
RUS	Vladimir Novikov	0	0	0
RUS	Andrey Ivanova	0	0	0
SWE	Kjell Carlsson	0	0	0
SWE	Nils Pettersson	0	0	0
SWE	Anders Lindstrom	0	0	0
SWE	Fredrik Johansson	0	0	0
SWE	Lars Jonsson	0	0	0
SWE	Karl Olsson	0	0	0
UKR	Yuryi Melnyk	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
UKR	Vasylyi Yvanova	0	0	0
UKR	Vyktor Kovalenko	0	0	0
UKR	Nykolai Moroz	0	0	0
UKR	Aleksandr Olyinyk	0	0	0
CZE	Jan Prochazka	0	0	0
CZE	Vaclav Dvorak	0	0	0
CZE	Petr Navratil	0	0	0
CZE	Michal Fialova	0	0	0
CZE	Miroslav Svoboda	0	0	0
CZE	Pavel Vesela	0	0	0
TUR	Yusuf Guler	0	0	0
TUR	Mustafa Simsek	0	0	0
TUR	Huseyin Sahin	0	0	0
TUR	Omer Koc	0	0	0
TUR	Mehmet Celik	0	0	0
TUR	Ramazan Yilmaz	0	0	0
WAL	Colin Pugh	0	0	0
WAL	Craig Young	0	0	0
WAL	Malcolm Hopkins	0	0	0
WAL	Adrian Llewellyn	0	0	0
WAL	Rhys Howells	0	0	0
WAL	Clive Jones	0	0	0
HUN	Gabor Toth	0	0	0
HUN	Sandor Toth	0	0	0
HUN	Istvan Kiss	0	0	0
HUN	Zoltan Kocsis	0	0	0
HUN	Laszlo Kovacs	0	0	0
HUN	Jozsef Szabo	0	0	0
DEN	Niels Jensen	0	0	0
DEN	Lars Moller	0	0	0
DEN	Soren Holm	0	0	0
DEN	Morten Rasmussen	0	0	0
DEN	Henrik Mikkelsen	0	0	0
DEN	Jesper Thomsen	0	0	0
NED	Richard van der Heijden	0	0	0
NED	Jan van Dijk	0	0	0
NED	Rob Brouwer	0	0	0
NED	Peter Meijer	0	0	0
NED	Jeroen de Jong	0	0	0
NED	Martijn van den Berg	0	0	0
POL	Pawel Lewandowski	0	0	0
POL	Grzegorz Kowalski	0	0	0
POL	Jacek Majewski	0	0	0
POL	Andrzej Nowak	0	0	0
POL	Krzysztof Sikora	0	0	0
POL	Tomasz Zajac	0	0	0
	
Team	Player	SV	SO	GA
AUS	Martin Lang	0	0	0
SER	Tomislav Rakic	0	0	0
RUS	Dmitriy Shevchenko	0	0	0
SWE	Sven Sjoberg	0	0	0
UKR	Serhei Tkachenko	0	0	0
CZE	Jiri Novakova	0	0	0
TUR	Ahmet Ozcan	0	0	0
WAL	Neil Wright	0	0	0
HUN	Janos Meszaros	0	0	0
DEN	Jens Clausen	0	0	0
NED	Marcel Kuiper	0	0	0
POL	Piotr Nowicki	0	0	0
