Team	Player	SH	SG	GL
USA	Nick Hamburger	0	0	0
USA	Lawrence Porter	0	0	0
USA	Bailey Myers-Morgan	0	0	0
USA	Casey Myers-Morgan	0	0	0
USA	Brandon Boyd	0	0	0
USA	Antonio Chavez	0	0	0
MEX	Hector	0	0	0
MEX	Guadalupe Moreno	0	0	0
MEX	Raul Ortiz	0	0	0
MEX	Carlos Torres	0	0	0
MEX	Cesar Romero	0	0	0
MEX	Jaime Hernandez	0	0	0
CAN	Scott Robinson	0	0	0
CAN	Joseph Clarke	0	0	0
CAN	Edward Gauthier	0	0	0
CAN	Marc Tremblay	0	0	0
CAN	Pierre Gagnon	0	0	0
CAN	Jacques Lavoie	0	0	0
CR	Alvaro Chaves	0	0	0
CR	Francisco Solano	0	0	0
CR	Gerardo Vargas	0	0	0
CR	Jorge Quesada	0	0	0
CR	Juan Araya	0	0	0
CR	Manuel Castro	0	0	0
	
Team	Player	SV	SO	GA
USA	Victor Weaver	0	0	0
MEX	Sergio Gutierrez	0	0	0
CAN	Tim Moore	0	0	0
CR	Mario Morales	0	0	0
