Team	Player	SH	SG	GL
AU	Andrew Moore	36	20	5
AU	Thomas Martin	30	15	5
AU	David Kelly	23	9	2
AU	Greg Cooper	11	4	2
AU	Darren King	14	6	3
AU	Geoff Murphy	13	6	2
NZ	Chris Turner	42	13	5
NZ	Nick Young	40	7	1
NZ	Roger Simpson	36	12	3
NZ	William Davies	23	6	0
NZ	Kevin Singh	7	3	1
NZ	Murray Campbell	6	3	2
FIJ	Viliame Naidu	26	9	3
FIJ	Krishneel Maharaj	31	17	3
FIJ	Tomasi Devi	19	5	1
FIJ	Salote Prakash	11	3	2
FIJ	Jone Khan	7	3	3
FIJ	Tevita Chand	6	3	1
PNG	Simon Apa	20	7	2
PNG	Moses Tonny	38	13	3
PNG	Mathew Amos	13	5	3
PNG	Joseph Wari	17	5	1
PNG	Philip Gibson	6	3	0
PNG	Samson Alu	6	1	1
	
Team	Player	SV	SO	GA
AU	Shane Taylor	45	55	10
NZ	Jason Watson	31	47	16
FIJ	Josefa Prasad	23	35	12
PNG	Junior Koi	25	41	16
