Team	Player	SH	SG	GL
AU	Andrew Moore	0	0	0
AU	Thomas Martin	0	0	0
AU	David Kelly	0	0	0
AU	Greg Cooper	0	0	0
AU	Darren King	0	0	0
AU	Geoff Murphy	0	0	0
NZ	Chris Turner	0	0	0
NZ	Nick Young	0	0	0
NZ	Roger Simpson	0	0	0
NZ	William Davies	0	0	0
NZ	Kevin Singh	0	0	0
NZ	Murray Campbell	0	0	0
FIJ	Viliame Naidu	0	0	0
FIJ	Krishneel Maharaj	0	0	0
FIJ	Tomasi Devi	0	0	0
FIJ	Salote Prakash	0	0	0
FIJ	Jone Khan	0	0	0
FIJ	Tevita Chand	0	0	0
PNG	Simon Apa	0	0	0
PNG	Moses Tonny	0	0	0
PNG	Mathew Amos	0	0	0
PNG	Joseph Wari	0	0	0
PNG	Philip Gibson	0	0	0
PNG	Samson Alu	0	0	0
	
Team	Player	SV	SO	GA
AU	Shane Taylor	0	0	0
NZ	Jason Watson	0	0	0
FIJ	Josefa Prasad	0	0	0
PNG	Junior Koi	0	0	0
