Team	Player	SH	SG	GL
USA	Nick Hamburger	19	7	0
USA	Lawrence Porter	14	6	3
USA	Bailey Myers-Morgan	10	6	2
USA	Casey Myers-Morgan	9	7	1
USA	Brandon Boyd	2	2	0
USA	Antonio Chavez	3	1	1
CR	Alvaro Chaves	18	8	1
CR	Francisco Solano	30	11	4
CR	Gerardo Vargas	5	4	2
CR	Jorge Quesada	7	3	2
CR	Juan Araya	5	2	1
CR	Manuel Castro	3	1	0
AUS	Karl Mayer	9	1	0
AUS	Franz Leitner	18	6	1
AUS	Josef Steiner	6	2	0
AUS	Johann Brunner	8	4	0
AUS	Andreas Schwarz	0	0	0
AUS	Gerhard Bauer	1	1	1
SWE	Kjell Carlsson	8	2	1
SWE	Nils Pettersson	10	9	2
SWE	Anders Lindstrom	7	7	2
SWE	Fredrik Johansson	8	6	3
SWE	Lars Jonsson	2	1	0
SWE	Karl Olsson	3	2	0
RUS	Ivan Popova	6	3	2
RUS	Maksim Volkova	10	4	3
RUS	Sergey Petrov	7	3	2
RUS	Aleksandr Kuznetsov	6	3	1
RUS	Vladimir Novikov	2	0	0
RUS	Andrey Ivanova	2	0	0
HUN	Gabor Toth	30	12	6
HUN	Sandor Toth	24	12	3
HUN	Istvan Kiss	8	3	1
HUN	Zoltan Kocsis	15	6	2
HUN	Laszlo Kovacs	4	3	0
HUN	Jozsef Szabo	8	4	0
UKR	Yuryi Melnyk	10	5	1
UKR	Anatolyi Pavlenko	8	5	2
UKR	Vasylyi Yvanova	8	4	1
UKR	Vyktor Kovalenko	11	4	1
UKR	Nykolai Moroz	3	0	0
UKR	Aleksandr Olyinyk	2	0	0
CZE	Jan Prochazka	12	9	5
CZE	Vaclav Dvorak	17	4	2
CZE	Petr Navratil	8	5	2
CZE	Michal Fialova	9	5	2
CZE	Miroslav Svoboda	6	0	0
CZE	Pavel Vesela	4	2	1
GEO	Zaza Gelashvili	21	11	4
GEO	Levan Tsiklauri	21	9	2
GEO	Nikoloz Kapanadze	12	6	1
GEO	Aleqsandre Beridze	9	1	1
GEO	Davit Mamedova	2	1	0
GEO	Giorgi Gogoladze	4	2	0
IRQ	Khaled Obaid	3	0	0
IRQ	Abdullah Kazem	8	0	0
IRQ	Mahmoud Abdul-Karim	5	2	1
IRQ	Sajjad Ali	2	0	0
IRQ	Mohamed Khalaf	2	0	0
IRQ	Haidar Salman	3	1	0
NGA	Yahaya Saidu	8	3	1
NGA	Yusuf Aliyu	8	3	1
NGA	Sani Hassan	5	3	0
NGA	Musa Musa	6	1	0
NGA	Umar Abubakar	5	1	0
NGA	Moses Okeke	2	1	0
SEN	Papa	29	10	3
SEN	Ousmane Diop	17	10	3
SEN	Samba Sene	5	1	0
SEN	Elhadji Ka	6	4	2
SEN	Cheikh Diagne	5	2	0
SEN	Mbaye Cisse	2	1	0
ARG	Diego Perez	12	5	1
ARG	Gustavo Suarez	12	7	2
ARG	Roberto Sosa	7	3	0
ARG	Pedro Flores	7	4	0
ARG	Juan Acosta	2	0	0
ARG	Oscar Gonzalez	1	1	0
CHI	Felipe Contreras	28	6	4
CHI	Marco Alvarez	24	11	3
CHI	Cristian Rivera	6	0	0
CHI	Patricio Torres	14	3	1
CHI	Jaime Riquelme	2	0	0
CHI	Hector Alvarez	6	1	1
AU	Andrew Moore	14	6	2
AU	Thomas Martin	8	5	1
AU	David Kelly	8	0	0
AU	Greg Cooper	5	1	0
AU	Darren King	4	1	0
AU	Geoff Murphy	5	1	1
FIJ	Viliame Naidu	25	7	1
FIJ	Krishneel Maharaj	9	3	1
FIJ	Tomasi Devi	6	3	0
FIJ	Salote Prakash	12	5	2
FIJ	Jone Khan	3	2	1
FIJ	Tevita Chand	3	1	1
	
Team	Player	SV	SO	GA
USA	Victor Weaver	13	16	3
CR	Mario Morales	25	38	13
AUS	Martin Lang	13	19	6
SWE	Sven Sjoberg	12	15	3
UKR	Serhei Tkachenko	10	12	2
CZE	Jiri Novakova	12	20	8
HUN	Janos Meszaros	13	20	7
RUS	Dmitriy Shevchenko	4	4	0
GEO	Mikheil Maruashvili	17	27	10
IRQ	Qasim Jawad	15	23	8
NGA	Sunday Eze	14	21	7
SEN	Mo Diallo	29	38	9
ARG	Luis Aguirre	10	16	6
CHI	Mauricio Fuentes	20	33	13
AU	Shane Taylor	8	9	1
FIJ	Josefa Prasad	24	33	9
