Team	Player	SH	SG	GL
USA	Nick Hamburger	0	0	0
USA	Lawrence Porter	0	0	0
USA	Bailey Myers-Morgan	0	0	0
USA	Casey Myers-Morgan	0	0	0
USA	Brandon Boyd	0	0	0
USA	Antonio Chavez	0	0	0
CR	Alvaro Chaves	0	0	0
CR	Francisco Solano	0	0	0
CR	Gerardo Vargas	0	0	0
CR	Jorge Quesada	0	0	0
CR	Juan Araya	0	0	0
CR	Manuel Castro	0	0	0
AUS	Karl Mayer	0	0	0
AUS	Franz Leitner	0	0	0
AUS	Josef Steiner	0	0	0
AUS	Johann Brunner	0	0	0
AUS	Andreas Schwarz	0	0	0
AUS	Gerhard Bauer	0	0	0
SWE	Kjell Carlsson	0	0	0
SWE	Nils Pettersson	0	0	0
SWE	Anders Lindstrom	0	0	0
SWE	Fredrik Johansson	0	0	0
SWE	Lars Jonsson	0	0	0
SWE	Karl Olsson	0	0	0
RUS	Ivan Popova	0	0	0
RUS	Maksim Volkova	0	0	0
RUS	Sergey Petrov	0	0	0
RUS	Aleksandr Kuznetsov	0	0	0
RUS	Vladimir Novikov	0	0	0
RUS	Andrey Ivanova	0	0	0
HUN	Gabor Toth	0	0	0
HUN	Sandor Toth	0	0	0
HUN	Istvan Kiss	0	0	0
HUN	Zoltan Kocsis	0	0	0
HUN	Laszlo Kovacs	0	0	0
HUN	Jozsef Szabo	0	0	0
UKR	Yuryi Melnyk	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
UKR	Vasylyi Yvanova	0	0	0
UKR	Vyktor Kovalenko	0	0	0
UKR	Nykolai Moroz	0	0	0
UKR	Aleksandr Olyinyk	0	0	0
CZE	Jan Prochazka	0	0	0
CZE	Vaclav Dvorak	0	0	0
CZE	Petr Navratil	0	0	0
CZE	Michal Fialova	0	0	0
CZE	Miroslav Svoboda	0	0	0
CZE	Pavel Vesela	0	0	0
GEO	Zaza Gelashvili	0	0	0
GEO	Levan Tsiklauri	0	0	0
GEO	Nikoloz Kapanadze	0	0	0
GEO	Aleqsandre Beridze	0	0	0
GEO	Davit Mamedova	0	0	0
GEO	Giorgi Gogoladze	0	0	0
IRQ	Khaled Obaid	0	0	0
IRQ	Abdullah Kazem	0	0	0
IRQ	Mahmoud Abdul-Karim	0	0	0
IRQ	Sajjad Ali	0	0	0
IRQ	Mohamed Khalaf	0	0	0
IRQ	Haidar Salman	0	0	0
NGA	Yahaya Saidu	0	0	0
NGA	Yusuf Aliyu	0	0	0
NGA	Sani Hassan	0	0	0
NGA	Musa Musa	0	0	0
NGA	Umar Abubakar	0	0	0
NGA	Moses Okeke	0	0	0
SEN	Papa	0	0	0
SEN	Ousmane Diop	0	0	0
SEN	Samba Sene	0	0	0
SEN	Elhadji Ka	0	0	0
SEN	Cheikh Diagne	0	0	0
SEN	Mbaye Cisse	0	0	0
ARG	Diego Perez	0	0	0
ARG	Gustavo Suarez	0	0	0
ARG	Roberto Sosa	0	0	0
ARG	Pedro Flores	0	0	0
ARG	Juan Acosta	0	0	0
ARG	Oscar Gonzalez	0	0	0
CHI	Felipe Contreras	0	0	0
CHI	Marco Alvarez	0	0	0
CHI	Cristian Rivera	0	0	0
CHI	Patricio Torres	0	0	0
CHI	Jaime Riquelme	0	0	0
CHI	Hector Alvarez	0	0	0
AU	Andrew Moore	0	0	0
AU	Thomas Martin	0	0	0
AU	David Kelly	0	0	0
AU	Greg Cooper	0	0	0
AU	Darren King	0	0	0
AU	Geoff Murphy	0	0	0
FIJ	Viliame Naidu	0	0	0
FIJ	Krishneel Maharaj	0	0	0
FIJ	Tomasi Devi	0	0	0
FIJ	Salote Prakash	0	0	0
FIJ	Jone Khan	0	0	0
FIJ	Tevita Chand	0	0	0
	
Team	Player	SV	SO	GA
USA	Victor Weaver	0	0	0
CR	Mario Morales	0	0	0
AUS	Martin Lang	0	0	0
SWE	Sven Sjoberg	0	0	0
UKR	Serhei Tkachenko	0	0	0
CZE	Jiri Novakova	0	0	0
HUN	Janos Meszaros	0	0	0
RUS	Dmitriy Shevchenko	0	0	0
GEO	Mikheil Maruashvili	0	0	0
IRQ	Qasim Jawad	0	0	0
NGA	Sunday Eze	0	0	0
SEN	Mo Diallo	0	0	0
ARG	Luis Aguirre	0	0	0
CHI	Mauricio Fuentes	0	0	0
AU	Shane Taylor	0	0	0
FIJ	Josefa Prasad	0	0	0
