Team	Player	SH	SG	GL
BRA	Manoel Ribiero	0	0	0
BRA	Joao Pereira	0	0	0
BRA	Luiz Gomes	0	0	0
BRA	Marcelo da Silva	0	0	0
BRA	Rodrigo de Jesus	0	0	0
BRA	Carlos Vieira	0	0	0
ARG	Diego Perez	0	0	0
ARG	Gustavo Suarez	0	0	0
ARG	Roberto Sosa	0	0	0
ARG	Pedro Flores	0	0	0
ARG	Juan Acosta	0	0	0
ARG	Oscar Gonzalez	0	0	0
PAR	Francisco Espinola	0	0	0
PAR	Arnaldo Benitez	0	0	0
PAR	Sergio Baez	0	0	0
PAR	Hugo Villalba	0	0	0
PAR	Ramon Medina	0	0	0
PAR	Felix Cardozo	0	0	0
CHI	Felipe Contreras	0	0	0
CHI	Marco Alvarez	0	0	0
CHI	Cristian Rivera	0	0	0
CHI	Patricio Torres	0	0	0
CHI	Jaime Riquelme	0	0	0
CHI	Hector Alvarez	0	0	0
COL	Hernan Torres	0	0	0
COL	Orlando Cardona	0	0	0
COL	Edwin Ruiz	0	0	0
COL	Edgar Jimenez	0	0	0
COL	Andres Rodriguez	0	0	0
COL	Javier Giraldo	0	0	0
PER	Juan Rivera	0	0	0
PER	Raul Morales	0	0	0
PER	Jaime Rojas	0	0	0
PER	Enrique Aguilar	0	0	0
PER	Jose Quispe	0	0	0
PER	Javier Gonzales	0	0	0
ECU	Cesar Paredes	0	0	0
ECU	Manuel Castillo	0	0	0
ECU	Ramon Jaramillo	0	0	0
ECU	Jorge Molina	0	0	0
ECU	David Chavez	0	0	0
ECU	Carlos Mendoza	0	0	0
URU	Carlos Acosta	0	0	0
URU	Gustavo Techera	0	0	0
URU	Gerardo Perez	0	0	0
URU	Ramon Perdomo	0	0	0
URU	Nestor Moreira	0	0	0
URU	Gonzalo Machado	0	0	0
	
Team	Player	SV	SO	GA
BRA	Jose Lopes	0	0	0
ARG	Luis Aguirre	0	0	0
PAR	Alcides Cabrera	0	0	0
CHI	Mauricio Fuentes	0	0	0
COL	German Arias	0	0	0
PER	Luis Huaman	0	0	0
ECU	Vicente Salazar	0	0	0
URU	Ricardo de Los Santos	0	0	0
