Team	Player	SH	SG	GL
ARG	Diego Perez	0	0	0
ARG	Gustavo Suarez	0	0	0
ARG	Roberto Sosa	0	0	0
ARG	Pedro Flores	0	0	0
ARG	Juan Acosta	0	0	0
ARG	Oscar Gonzalez	0	0	0
CHI	Felipe Contreras	0	0	0
CHI	Marco Alvarez	0	0	0
CHI	Cristian Rivera	0	0	0
CHI	Patricio Torres	0	0	0
CHI	Jaime Riquelme	0	0	0
CHI	Hector Alvarez	0	0	0
COL	Hernan Torres	0	0	0
COL	Orlando Cardona	0	0	0
COL	Edwin Ruiz	0	0	0
COL	Edgar Jimenez	0	0	0
COL	Andres Rodriguez	0	0	0
COL	Javier Giraldo	0	0	0
ECU	Cesar Paredes	0	0	0
ECU	Manuel Castillo	0	0	0
ECU	Ramon Jaramillo	0	0	0
ECU	Jorge Molina	0	0	0
ECU	David Chavez	0	0	0
ECU	Carlos Mendoza	0	0	0
	
Team	Player	SV	SO	GA
ARG	Luis Aguirre	0	0	0
CHI	Mauricio Fuentes	0	0	0
COL	German Arias	0	0	0
ECU	Vicente Salazar	0	0	0
