Team	Player	SH	SG	GL
ITA	Giovanni Ricci	17	5	2
ITA	Giovanni Rossi	18	9	2
ITA	Pietro Greco	6	6	2
ITA	Salvatore Moretti	4	3	0
ITA	Giuseppe Giordano	4	2	0
ITA	Francesco Caruso	3	3	0
ESP	Diego Castillo	38	14	3
ESP	Vicente Garcia	27	11	3
ESP	Alvaro Vazquez	9	2	2
ESP	Alejandro Garcia	12	3	1
ESP	Rafael Delgado	3	1	0
ESP	Jose Romero	5	4	0
ENG	Neil Griffith	25	12	5
ENG	Simon Knight	19	10	3
ENG	Benjamin Webb	5	3	0
ENG	Stuart Holmes	12	7	3
ENG	Graham Chapman	3	2	0
ENG	Nigel Price	4	2	0
BEL	Jean-Pierre de Clercq	20	11	4
BEL	Alain Goossens	12	4	1
BEL	Vincent van de Velde	9	3	0
BEL	Marc Renard	15	3	2
BEL	Geert Verhoeven	6	4	0
BEL	Christian Janssen	2	1	1
CRO	Niko Lovric	16	9	2
CRO	Ivica Vidovic	9	5	1
CRO	Franja Blazevic	5	3	0
CRO	Roberjt Grgic	8	6	1
CRO	Stjepan Novosel	4	2	1
CRO	Zlatko Novak	1	1	0
FRA	Olivier Rousseau	11	4	0
FRA	Dominique Girard	14	4	0
FRA	Jacques Lemaire	3	0	0
FRA	Bernard Michel	5	2	0
FRA	Rene Chevalier	1	0	0
FRA	Jean Gauthier	0	0	0
WAL	Colin Pugh	13	4	0
WAL	Craig Young	17	12	5
WAL	Malcolm Hopkins	12	2	0
WAL	Adrian Llewellyn	8	4	3
WAL	Rhys Howells	2	1	0
WAL	Clive Jones	0	0	0
GER	Gerhard Muller	16	4	1
GER	Helmut Lange	11	7	0
GER	Jurgen Richter	4	3	1
GER	Wolfgang Koch	5	0	0
GER	Hans Weber	3	1	1
GER	Manfred Fischer	4	3	1
SER	Dragan Petrovic	15	5	1
SER	Aleksandar Milosevic	3	0	0
SER	Jovan Trajkovic	2	1	0
SER	Zoran Ilic	7	2	1
SER	Petar Stojanovic	2	1	0
SER	Slobodan Krstic	3	0	0
POR	Ricardo Goncalves	8	4	1
POR	Joao Silva	7	2	1
POR	Carlos Pereira	5	2	0
POR	Sergio Alves	5	3	1
POR	Fernando Ribiero	1	1	0
POR	Vitor Correia	2	0	0
RUS	Ivan Popova	15	7	5
RUS	Maksim Volkova	25	12	4
RUS	Sergey Petrov	14	4	1
RUS	Aleksandr Kuznetsov	16	8	1
RUS	Vladimir Novikov	6	2	1
RUS	Andrey Ivanova	9	4	1
SWE	Kjell Carlsson	11	3	0
SWE	Nils Pettersson	8	3	2
SWE	Anders Lindstrom	8	6	3
SWE	Fredrik Johansson	3	1	0
SWE	Lars Jonsson	3	2	0
SWE	Karl Olsson	6	1	0
UKR	Yuryi Melnyk	10	4	1
UKR	Anatolyi Pavlenko	10	7	2
UKR	Vasylyi Yvanova	10	6	4
UKR	Vyktor Kovalenko	2	2	1
UKR	Nykolai Moroz	5	2	0
UKR	Aleksandr Olyinyk	4	1	0
CZE	Jan Prochazka	15	4	2
CZE	Vaclav Dvorak	9	6	2
CZE	Petr Navratil	10	4	1
CZE	Michal Fialova	5	2	0
CZE	Miroslav Svoboda	2	2	1
CZE	Pavel Vesela	0	0	0
HUN	Gabor Toth	14	5	1
HUN	Sandor Toth	6	1	0
HUN	Istvan Kiss	5	2	0
HUN	Zoltan Kocsis	11	4	1
HUN	Laszlo Kovacs	2	2	1
HUN	Jozsef Szabo	2	0	0
EGY	Rachim Azzizi	14	7	3
EGY	Khalif Karam	17	7	0
EGY	Abo Samir	5	2	0
EGY	Hassan Elsayed	5	3	0
EGY	Sherif Farouk	2	1	1
EGY	Mostafa Salah	2	1	0
MOR	Mohamed Alaoui	30	11	3
MOR	Nabil Karim	15	6	4
MOR	Mustapha Alaoui	19	10	1
MOR	Rachid Tahiri	16	5	3
MOR	Hicham El-Mostafa	5	2	0
MOR	Mohammed El-Idrissi	5	2	0
CIV	Didier Diomande	16	7	3
CIV	Koffi Kouassi	9	3	2
CIV	Aka Dah	8	3	1
CIV	Moussa Amani	7	1	0
CIV	Yao Sanogo	2	0	0
CIV	Kouame Ouattara	3	0	0
CAM	Andre Moussa	6	1	0
CAM	Jean Mengue	4	0	0
CAM	Pierre Ngono	7	1	0
CAM	Joseph Sali	4	1	0
CAM	Emmanuel Alhadji	6	3	0
CAM	Samuel Ngah	3	2	0
JAP	Koji Suzuki	10	5	0
JAP	Akira Maeda	10	3	0
JAP	Hideo Ogawa	3	1	0
JAP	Yukio Ono	7	1	1
JAP	Hiroshi Ito	4	3	1
JAP	Kenji Yamaguchi	5	3	1
IRN	Ali Mousavi	15	4	1
IRN	Hassan Mohammadi	4	4	0
IRN	Amir Zare	7	3	1
IRN	Saeed Sadeghi	5	3	1
IRN	Hamid Bagheri	1	0	0
IRN	Seyyed Ghasemi	0	0	0
JOR	Omar Al-Zubi	19	10	3
JOR	Omar Al-Khawaldeh	28	11	5
JOR	Bilal El-Qadah	5	4	2
JOR	Ibrahim Odeh	12	4	1
JOR	Zaid Eid	2	0	0
JOR	Abdel Allah	2	1	0
QAT	Fahad Ali	11	3	1
QAT	Sunil Sharma	8	4	0
QAT	Ramesh Shrestha	6	1	0
QAT	Arshad Yadav	3	0	0
QAT	Faisal Almarri	1	0	0
QAT	Syed Rahman	0	0	0
BRA	Manoel Ribiero	43	19	3
BRA	Joao Pereira	27	16	5
BRA	Luiz Gomes	10	6	2
BRA	Marcelo da Silva	11	6	2
BRA	Rodrigo de Jesus	3	0	0
BRA	Carlos Vieira	5	3	0
URU	Carlos Acosta	13	9	4
URU	Gustavo Techera	6	1	1
URU	Gerardo Perez	6	4	1
URU	Ramon Perdomo	5	2	1
URU	Nestor Moreira	2	2	1
URU	Gonzalo Machado	2	1	0
ECU	Cesar Paredes	15	3	0
ECU	Manuel Castillo	13	4	1
ECU	Ramon Jaramillo	2	0	0
ECU	Jorge Molina	6	1	0
ECU	David Chavez	3	1	1
ECU	Carlos Mendoza	0	0	0
COL	Hernan Torres	20	3	1
COL	Orlando Cardona	11	5	2
COL	Edwin Ruiz	7	3	1
COL	Edgar Jimenez	8	3	0
COL	Andres Rodriguez	3	0	0
COL	Javier Giraldo	2	0	0
CHI	Felipe Contreras	15	5	3
CHI	Marco Alvarez	8	0	0
CHI	Cristian Rivera	6	1	1
CHI	Patricio Torres	8	3	1
CHI	Jaime Riquelme	8	3	1
CHI	Hector Alvarez	7	4	2
USA	Nick Hamburger	21	10	4
USA	Lawrence Porter	13	6	4
USA	Bailey Myers-Morgan	10	5	1
USA	Casey Myers-Morgan	8	3	1
USA	Brandon Boyd	0	0	0
USA	Antonio Chavez	4	3	2
MEX	Hector	10	4	1
MEX	Guadalupe Moreno	9	3	0
MEX	Raul Ortiz	4	0	0
MEX	Carlos Torres	7	0	0
MEX	Cesar Romero	0	0	0
MEX	Jaime Hernandez	3	1	0
PAN	Jose Abrego	9	4	1
PAN	Angel Cedeno	4	2	1
PAN	Francisco Castillo	6	1	1
PAN	Edwin Lopez	6	1	0
PAN	Miguel Ortega	4	0	0
PAN	Alberto Diaz	3	0	0
AU	Andrew Moore	7	4	1
AU	Thomas Martin	8	3	1
AU	David Kelly	4	4	1
AU	Greg Cooper	3	0	0
AU	Darren King	3	2	0
AU	Geoff Murphy	4	3	0
	
Team	Player	SV	SO	GA
GER	Klaus Bauer	10	16	6
ITA	Antonio de Luca	21	24	3
SER	Tomislav Rakic	10	14	4
RUS	Dmitriy Shevchenko	23	27	4
CRO	Miroslav Pavlovic	15	18	3
SWE	Sven Sjoberg	9	16	7
UKR	Serhei Tkachenko	10	15	5
CZE	Jiri Novakova	12	18	6
ESP	Enrique Ortega	32	39	7
ENG	Stephen Hunt	11	16	5
WAL	Neil Wright	19	23	4
HUN	Janos Meszaros	13	16	3
FRA	Pierre Blanchard	12	18	6
BEL	Eddy van den Broeck	13	17	4
POR	Pedro Reis	20	31	11
EGY	Omar Mady	10	15	5
CIV	Brahima Kamagate	13	19	6
CAM	Martin Hamadou	10	14	4
MOR	Abdel Aziz	34	41	7
JAP	Tadashi Sato	9	16	7
IRN	Reza Jafari	16	22	6
QAT	Rajeev Ali	12	21	9
JOR	Raed Khatib	15	24	9
BRA	Jose Lopes	16	21	5
CHI	Mauricio Fuentes	14	21	7
COL	German Arias	10	15	5
ECU	Vicente Salazar	9	11	2
URU	Ricardo de Los Santos	5	12	7
AU	Shane Taylor	14	19	5
