Team	Player	SH	SG	GL
ITA	Giovanni Ricci	0	0	0
ITA	Giovanni Rossi	0	0	0
ITA	Pietro Greco	0	0	0
ITA	Salvatore Moretti	0	0	0
ITA	Giuseppe Giordano	0	0	0
ITA	Francesco Caruso	0	0	0
ESP	Diego Castillo	0	0	0
ESP	Vicente Garcia	0	0	0
ESP	Alvaro Vazquez	0	0	0
ESP	Alejandro Garcia	0	0	0
ESP	Rafael Delgado	0	0	0
ESP	Jose Romero	0	0	0
ENG	Neil Griffith	0	0	0
ENG	Simon Knight	0	0	0
ENG	Benjamin Webb	0	0	0
ENG	Stuart Holmes	0	0	0
ENG	Graham Chapman	0	0	0
ENG	Nigel Price	0	0	0
BEL	Jean-Pierre de Clercq	0	0	0
BEL	Alain Goossens	0	0	0
BEL	Vincent van de Velde	0	0	0
BEL	Marc Renard	0	0	0
BEL	Geert Verhoeven	0	0	0
BEL	Christian Janssen	0	0	0
CRO	Niko Lovric	0	0	0
CRO	Ivica Vidovic	0	0	0
CRO	Franja Blazevic	0	0	0
CRO	Roberjt Grgic	0	0	0
CRO	Stjepan Novosel	0	0	0
CRO	Zlatko Novak	0	0	0
FRA	Olivier Rousseau	0	0	0
FRA	Dominique Girard	0	0	0
FRA	Jacques Lemaire	0	0	0
FRA	Bernard Michel	0	0	0
FRA	Rene Chevalier	0	0	0
FRA	Jean Gauthier	0	0	0
WAL	Colin Pugh	0	0	0
WAL	Craig Young	0	0	0
WAL	Malcolm Hopkins	0	0	0
WAL	Adrian Llewellyn	0	0	0
WAL	Rhys Howells	0	0	0
WAL	Clive Jones	0	0	0
GER	Gerhard Muller	0	0	0
GER	Helmut Lange	0	0	0
GER	Jurgen Richter	0	0	0
GER	Wolfgang Koch	0	0	0
GER	Hans Weber	0	0	0
GER	Manfred Fischer	0	0	0
SER	Dragan Petrovic	0	0	0
SER	Aleksandar Milosevic	0	0	0
SER	Jovan Trajkovic	0	0	0
SER	Zoran Ilic	0	0	0
SER	Petar Stojanovic	0	0	0
SER	Slobodan Krstic	0	0	0
POR	Ricardo Goncalves	0	0	0
POR	Joao Silva	0	0	0
POR	Carlos Pereira	0	0	0
POR	Sergio Alves	0	0	0
POR	Fernando Ribiero	0	0	0
POR	Vitor Correia	0	0	0
RUS	Ivan Popova	0	0	0
RUS	Maksim Volkova	0	0	0
RUS	Sergey Petrov	0	0	0
RUS	Aleksandr Kuznetsov	0	0	0
RUS	Vladimir Novikov	0	0	0
RUS	Andrey Ivanova	0	0	0
SWE	Kjell Carlsson	0	0	0
SWE	Nils Pettersson	0	0	0
SWE	Anders Lindstrom	0	0	0
SWE	Fredrik Johansson	0	0	0
SWE	Lars Jonsson	0	0	0
SWE	Karl Olsson	0	0	0
UKR	Yuryi Melnyk	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
UKR	Vasylyi Yvanova	0	0	0
UKR	Vyktor Kovalenko	0	0	0
UKR	Nykolai Moroz	0	0	0
UKR	Aleksandr Olyinyk	0	0	0
CZE	Jan Prochazka	0	0	0
CZE	Vaclav Dvorak	0	0	0
CZE	Petr Navratil	0	0	0
CZE	Michal Fialova	0	0	0
CZE	Miroslav Svoboda	0	0	0
CZE	Pavel Vesela	0	0	0
HUN	Gabor Toth	0	0	0
HUN	Sandor Toth	0	0	0
HUN	Istvan Kiss	0	0	0
HUN	Zoltan Kocsis	0	0	0
HUN	Laszlo Kovacs	0	0	0
HUN	Jozsef Szabo	0	0	0
EGY	Rachim Azzizi	0	0	0
EGY	Khalif Karam	0	0	0
EGY	Abo Samir	0	0	0
EGY	Hassan Elsayed	0	0	0
EGY	Sherif Farouk	0	0	0
EGY	Mostafa Salah	0	0	0
