Team	Player	SH	SG	GL
BRZ	Manoel Ribiero	43	17	4
ARG	Diego Perez	38	17	3
URU	Carlos Acosta	41	14	4
COL	Hernan Torres	35	14	2
USA	Nick Hamburger	44	19	6
MEX	Hector	29	13	3
CHI	Felipe Contreras	27	12	3
ECU	Cesar Paredes	33	12	5
CRC	Alvaro Chaves	38	12	2
PAN	Jose Abrego	34	15	6
TNT	Joel Hosein	48	23	5
PAR	Francisco Espinola	27	12	4
BOL	Mario Condori	28	11	2
PER	Juan Rivera	25	11	4
VEN	Cesar Romero	19	8	2
CAN	Scott Robinson	39	15	3
HON	Jesus Zelaya	26	13	1
PRC	Gerardo Vega	34	16	5
HAI	Francois Toussaint	41	19	5
GUA	Santiago Barrios	28	12	0
NIC	Eddy Espinoza	31	12	1
ELS	Rafael Guevara	30	12	4
CUB	Manuel Valdes	41	15	4
DMR	Nicolas Montero	31	11	6
BLZ	Juan-Carlos Novelo	28	7	2
JAM	Neville Grant	22	5	3
BAH	Raymond Brown	32	10	4
BAR	Tyrone King	26	13	6
SLC	Vincent Charlery	27	14	4
GRE	Niels Moller	18	7	2
BRZ	Joao Pereira	25	10	5
ARG	Gustavo Suarez	43	26	8
URU	Gustavo Techera	31	12	4
COL	Orlando Cardona	25	9	1
USA	Lawrence Porter	22	9	2
MEX	Guadalupe Moreno	19	6	3
CHI	Marco Alvarez	25	11	2
ECU	Manuel Castillo	21	12	3
CRC	Francisco Solano	25	7	1
PAN	Angel Cedeno	43	14	4
TNT	Anthony Gonzales	27	12	4
PAR	Arnaldo Benitez	31	5	3
BOL	Oscar Huanca	19	7	1
PER	Raul Morales	24	9	4
VEN	Freddy Lopez	27	10	3
CAN	Joseph Clarke	39	18	6
HON	Pedro Banegas	38	17	5
PRC	Ricardo Rosa	28	12	1
HAI	Baptiste Fils-Aime	14	5	1
GUA	Angel de Leon	22	10	4
NIC	Reynaldo Herrera	26	12	3
ELS	Marcos Aguilar	27	18	6
CUB	Alejandro Medina	35	15	5
DMR	Francis de la Rosa	15	9	3
BLZ	John Garcia	29	12	5
JAM	Albert Hall	29	15	5
BAH	Sidney Knowles	28	10	2
BAR	Ian Mayers	25	12	3
SLC	Sylvester Jean-Baptiste	21	9	2
GRE	Jesper Kleist	33	14	6
BRZ	Luiz Gomes	24	11	3
ARG	Roberto Sosa	14	8	3
URU	Gerardo Perez	10	6	1
COL	Edwin Ruiz	20	10	5
USA	Chris Barber	28	5	2
MEX	Raul Ortiz	16	5	4
CHI	Cristian Rivera	16	10	0
ECU	Ramon Jaramillo	22	12	7
CRC	Gerardo Vargas	23	9	1
PAN	Francisco Castillo	20	5	2
TNT	Nigel Maharaj	22	10	3
PAR	Sergio Baez	13	7	5
BOL	Francisco Flores	17	8	2
PER	Jaime Rojas	13	5	2
VEN	Rafael Parra	15	5	2
CAN	Edward Gauthier	12	6	2
HON	Daniel Ortiz	11	7	1
PRC	Gilberto Delgado	18	5	3
