Team	Player	SH	SG	GL
BRZ	Manoel Ribiero	0	0	0
ARG	Diego Perez	0	0	0
URU	Carlos Acosta	0	0	0
COL	Hernan Torres	0	0	0
USA	Nick Hamburger	0	0	0
MEX	Hector	0	0	0
CHI	Felipe Contreras	0	0	0
ECU	Cesar Paredes	0	0	0
CRC	Alvaro Chaves	0	0	0
PAN	Jose Abrego	0	0	0
TNT	Joel Hosein	0	0	0
PAR	Francisco Espinola	0	0	0
BOL	Mario Condori	0	0	0
PER	Juan Rivera	0	0	0
VEN	Cesar Romero	0	0	0
CAN	Scott Robinson	0	0	0
HON	Jesus Zelaya	0	0	0
PRC	Gerardo Vega	0	0	0
HAI	Francois Toussaint	0	0	0
GUA	Santiago Barrios	0	0	0
NIC	Eddy Espinoza	0	0	0
ELS	Rafael Guevara	0	0	0
CUB	Manuel Valdes	0	0	0
DMR	Nicolas Montero	0	0	0
BLZ	Juan-Carlos Novelo	0	0	0
JAM	Neville Grant	0	0	0
BAH	Raymond Brown	0	0	0
BAR	Tyrone King	0	0	0
SLC	Vincent Charlery	0	0	0
GRE	Niels Moller	0	0	0
BRZ	Joao Pereira	0	0	0
ARG	Gustavo Suarez	0	0	0
URU	Gustavo Techera	0	0	0
COL	Orlando Cardona	0	0	0
USA	Lawrence Porter	0	0	0
MEX	Guadalupe Moreno	0	0	0
CHI	Marco Alvarez	0	0	0
ECU	Manuel Castillo	0	0	0
CRC	Francisco Solano	0	0	0
PAN	Angel Cedeno	0	0	0
TNT	Anthony Gonzales	0	0	0
PAR	Arnaldo Benitez	0	0	0
BOL	Oscar Huanca	0	0	0
PER	Raul Morales	0	0	0
VEN	Freddy Lopez	0	0	0
CAN	Joseph Clarke	0	0	0
HON	Pedro Banegas	0	0	0
PRC	Ricardo Rosa	0	0	0
HAI	Baptiste Fils-Aime	0	0	0
GUA	Angel de Leon	0	0	0
NIC	Reynaldo Herrera	0	0	0
ELS	Marcos Aguilar	0	0	0
CUB	Alejandro Medina	0	0	0
DMR	Francis de la Rosa	0	0	0
BLZ	John Garcia	0	0	0
JAM	Albert Hall	0	0	0
BAH	Sidney Knowles	0	0	0
BAR	Ian Mayers	0	0	0
SLC	Sylvester Jean-Baptiste	0	0	0
GRE	Jesper Kleist	0	0	0
BRZ	Luiz Gomes	0	0	0
ARG	Roberto Sosa	0	0	0
URU	Gerardo Perez	0	0	0
COL	Edwin Ruiz	0	0	0
USA	Chris Barber	0	0	0
MEX	Raul Ortiz	0	0	0
CHI	Cristian Rivera	0	0	0
ECU	Ramon Jaramillo	0	0	0
CRC	Gerardo Vargas	0	0	0
PAN	Francisco Castillo	0	0	0
TNT	Nigel Maharaj	0	0	0
PAR	Sergio Baez	0	0	0
BOL	Francisco Flores	0	0	0
PER	Jaime Rojas	0	0	0
VEN	Rafael Parra	0	0	0
CAN	Edward Gauthier	0	0	0
HON	Daniel Ortiz	0	0	0
PRC	Gilberto Delgado	0	0	0
HAI	Robenson Laguerre	0	0	0
GUA	Domingo Ordonez	0	0	0
NIC	Fernando Reyes	0	0	0
ELS	Ricardo Mejia	0	0	0
CUB	Enrique Blanco	0	0	0
DMR	Vicente Tavarez	0	0	0
BLZ	Peter Ramirez	0	0	0
JAM	John Edwards	0	0	0
BAH	Chris Rolle	0	0	0
BAR	Nigel Clarke	0	0	0
SLC	Richard Gustave	0	0	0
GRE	Lars Heilmann	0	0	0
BRZ	Marcelo da Silva	0	0	0
ARG	Pedro Flores	0	0	0
URU	Ramon Perdomo	0	0	0
COL	Edgar Jimenez	0	0	0
USA	Casey Myers-Morgan	0	0	0
MEX	Carlos Torres	0	0	0
CHI	Patricio Torres	0	0	0
ECU	Jorge Molina	0	0	0
CRC	Jorge Quesada	0	0	0
PAN	Edwin Lopez	0	0	0
TNT	Adrian Johnson	0	0	0
PAR	Hugo Villalba	0	0	0
BOL	Juan Apaza	0	0	0
PER	Enrique Aguilar	0	0	0
VEN	Pablo Rivero	0	0	0
CAN	Marc Tremblay	0	0	0
HON	Manuel Amador	0	0	0
PRC	Roberto Colon	0	0	0
HAI	James Delva	0	0	0
GUA	Vicente Mendez	0	0	0
NIC	Orlando Centeno	0	0	0
ELS	Elmer Campos	0	0	0
CUB	Ramos Marrero	0	0	0
DMR	Rafael Tejeda	0	0	0
BLZ	Antonio Martinez	0	0	0
JAM	Patrick Miller	0	0	0
BAH	Jean Roberts	0	0	0
BAR	Clyde Gittens	0	0	0
SLC	Ignatius Williams	0	0	0
GRE	Isak Kristiansen	0	0	0
BRZ	Rodrigo de Jesus	0	0	0
ARG	Juan Acosta	0	0	0
URU	Nestor Moreira	0	0	0
COL	Andres Rodriguez	0	0	0
USA	Brandon Boyd	0	0	0
MEX	Cesar Romero	0	0	0
CHI	Jaime Riquelme	0	0	0
ECU	David Chavez	0	0	0
CRC	Juan Araya	0	0	0
PAN	Miguel Ortega	0	0	0
TNT	Nicholas Persad	0	0	0
PAR	Ramon Medina	0	0	0
BOL	Eduardo Vaca	0	0	0
PER	Jose Quispe	0	0	0
VEN	Javier Medina	0	0	0
CAN	Pierre Gagnon	0	0	0
HON	Marlon Padilla	0	0	0
PRC	Juan Narvaez	0	0	0
HAI	Frantz Germaine	0	0	0
GUA	Tomas Morales	0	0	0
NIC	Ernesto Jarquin	0	0	0
ELS	Mauricio Argueta	0	0	0
CUB	Armando Dominguez	0	0	0
DMR	Tomas Batista	0	0	0
BLZ	Wayne Vasquez	0	0	0
JAM	Winston Powell	0	0	0
BAH	Andrew Pinder	0	0	0
BAR	Colin Brathwaite	0	0	0
SLC	Robert Mathurin	0	0	0
GRE	Otto Lyberth	0	0	0
BRZ	Carlos Vieira	0	0	0
ARG	Oscar Gonzalez	0	0	0
URU	Gonzalo Machado	0	0	0
COL	Javier Giraldo	0	0	0
USA	Antonio Chavez	0	0	0
MEX	Jaime Hernandez	0	0	0
CHI	Hector Alvarez	0	0	0
ECU	Carlos Mendoza	0	0	0
CRC	Manuel Castro	0	0	0
PAN	Alberto Diaz	0	0	0
TNT	Francis Baptiste	0	0	0
PAR	Felix Cardozo	0	0	0
BOL	Edwin Torrez	0	0	0
PER	Javier Gonzales	0	0	0
VEN	Felix Rodriguez	0	0	0
CAN	Jacques Lavoie	0	0	0
HON	Ramon Bonilla	0	0	0
PRC	Josue Pagan	0	0	0
HAI	Evens Moise	0	0	0
GUA	Felipe Juarez	0	0	0
NIC	Jaime Chavarria	0	0	0
ELS	Raul Orellana	0	0	0
CUB	Gustavo Vega	0	0	0
DMR	Lorenzo Marte	0	0	0
BLZ	Julio Sanchez	0	0	0
JAM	William Gayle	0	0	0
BAH	Arthur Bethel	0	0	0
BAR	Rodney Harewood	0	0	0
SLC	Titus Augustin	0	0	0
GRE	Jorgen Egede	0	0	0
	
Team	Player	SV	SO	GA
BRZ	Jose Lopes	0	0	0
ARG	Luis Aguirre	0	0	0
URU	Ricardo de Los Santos	0	0	0
COL	German Arias	0	0	0
USA	Bailey Myers-Morgan	0	0	0
MEX	Sergio Gutierrez	0	0	0
CHI	Mauricio Fuentes	0	0	0
ECU	Vicente Salazar	0	0	0
CRC	Mario Morales	0	0	0
PAN	Javier Guerra	0	0	0
TNT	Dexter Edwards	0	0	0
PAR	Alcides Cabrera	0	0	0
BOL	Victor Choque	0	0	0
PER	Luis Huaman	0	0	0
VEN	Edgar Rojas	0	0	0
CAN	Tim Moore	0	0	0
HON	Wilmer Paz	0	0	0
PRC	Jorge Canales	0	0	0
HAI	Marc Sanon	0	0	0
GUA	Hugo Pop	0	0	0
NIC	Marvin Castillo	0	0	0
ELS	Nelson Portillo	0	0	0
CUB	Ruben Levya	0	0	0
DMR	Maximo Ventura	0	0	0
BLZ	Gilberto Cruz	0	0	0
JAM	Cecil Brown	0	0	0
BAH	Patrick Sands	0	0	0
BAR	Patrick Boyce	0	0	0
SLC	Cyril Hippolyte	0	0	0
GRE	Ole Lynge	0	0	0
