Team	Player	SH	SG	GL
USA	Nick Hamburger	11	4	1
CHI	Felipe Contreras	9	2	1
ECU	Cesar Paredes	14	6	2
HON	Jesus Zelaya	10	6	1
ARG	Diego Perez	32	11	4
DMR	Nicolas Montero	13	6	0
PER	Juan Rivera	8	3	1
CAN	Scott Robinson	25	9	2
PAN	Jose Abrego	33	11	3
GUA	Santiago Barrios	3	1	0
PAR	Francisco Espinola	9	2	0
TNT	Joel Hosein	27	9	3
COL	Hernan Torres	20	9	5
MEX	Hector	22	7	2
CUB	Manuel Valdes	10	2	0
CRC	Alvaro Chaves	15	8	2
USA	Lawrence Porter	7	3	1
CHI	Marco Alvarez	12	7	2
ECU	Manuel Castillo	8	1	0
HON	Pedro Banegas	10	2	0
ARG	Gustavo Suarez	25	14	6
DMR	Francis de la Rosa	7	3	0
PER	Raul Morales	9	4	0
CAN	Joseph Clarke	28	9	4
PAN	Angel Cedeno	28	7	3
GUA	Angel de Leon	9	6	2
PAR	Arnaldo Benitez	13	3	0
TNT	Anthony Gonzales	19	10	3
COL	Orlando Cardona	24	8	1
MEX	Guadalupe Moreno	13	5	2
CUB	Alejandro Medina	16	6	2
CRC	Francisco Solano	12	4	1
USA	Chris Barber	16	9	4
CHI	Cristian Rivera	7	4	2
ECU	Ramon Jaramillo	8	2	1
HON	Daniel Ortiz	9	1	0
ARG	Roberto Sosa	13	6	0
DMR	Vicente Tavarez	9	5	1
PER	Jaime Rojas	6	3	0
CAN	Edward Gauthier	9	5	0
PAN	Francisco Castillo	11	3	1
GUA	Domingo Ordonez	1	0	0
PAR	Sergio Baez	9	4	0
TNT	Nigel Maharaj	10	7	2
COL	Edwin Ruiz	12	7	0
MEX	Raul Ortiz	6	3	2
CUB	Enrique Blanco	4	1	1
CRC	Gerardo Vargas	6	2	0
USA	Casey Myers-Morgan	9	5	0
CHI	Patricio Torres	7	3	0
ECU	Jorge Molina	6	2	0
HON	Manuel Amador	12	5	4
ARG	Pedro Flores	9	7	4
DMR	Rafael Tejeda	2	2	1
PER	Enrique Aguilar	7	2	0
CAN	Marc Tremblay	12	7	3
PAN	Edwin Lopez	7	2	0
GUA	Vicente Mendez	7	4	0
PAR	Hugo Villalba	4	2	0
TNT	Adrian Johnson	10	4	0
COL	Edgar Jimenez	9	1	0
MEX	Carlos Torres	7	3	0
CUB	Ramos Marrero	6	2	1
CRC	Jorge Quesada	6	0	0
USA	Brandon Boyd	6	4	0
CHI	Jaime Riquelme	5	1	0
ECU	David Chavez	1	1	0
HON	Marlon Padilla	1	1	0
ARG	Juan Acosta	5	3	1
DMR	Tomas Batista	4	1	0
PER	Jose Quispe	3	2	0
CAN	Pierre Gagnon	2	0	0
PAN	Miguel Ortega	3	1	1
GUA	Tomas Morales	2	1	1
PAR	Ramon Medina	4	1	0
TNT	Nicholas Persad	3	2	1
COL	Andres Rodriguez	6	5	1
MEX	Cesar Romero	4	1	1
CUB	Armando Dominguez	1	1	0
CRC	Juan Araya	4	1	0
USA	Antonio Chavez	5	1	1
CHI	Hector Alvarez	4	1	1
ECU	Carlos Mendoza	0	0	0
HON	Ramon Bonilla	4	2	0
ARG	Oscar Gonzalez	9	4	2
DMR	Lorenzo Marte	3	2	1
PER	Javier Gonzales	2	0	0
CAN	Jacques Lavoie	6	1	1
PAN	Alberto Diaz	3	3	1
GUA	Felipe Juarez	3	2	0
PAR	Felix Cardozo	0	0	0
TNT	Francis Baptiste	0	0	0
COL	Javier Giraldo	2	1	0
MEX	Jaime Hernandez	2	1	0
CUB	Gustavo Vega	2	1	1
CRC	Manuel Castro	2	0	0
	
Team	Player	SV	SO	GA
USA	Bailey Myers-Morgan	13	19	6
CHI	Mauricio Fuentes	8	15	7
ECU	Vicente Salazar	9	13	4
HON	Wilmer Paz	21	29	8
ARG	Luis Aguirre	19	22	3
DMR	Maximo Ventura	16	28	12
PER	Luis Huaman	15	17	2
CAN	Tim Moore	30	41	11
PAN	Javier Guerra	20	29	9
GUA	Hugo Pop	9	11	2
PAR	Alcides Cabrera	8	13	5
TNT	Dexter Edwards	30	33	3
COL	German Arias	13	18	5
MEX	Sergio Gutierrez	19	22	3
CUB	Ruben Levya	9	15	6
CRC	Mario Morales	12	21	9
