Team	Player	SH	SG	GL
USA	Nick Hamburger	0	0	0
CHI	Felipe Contreras	0	0	0
ECU	Cesar Paredes	0	0	0
HON	Jesus Zelaya	0	0	0
ARG	Diego Perez	0	0	0
DMR	Nicolas Montero	0	0	0
PER	Juan Rivera	0	0	0
CAN	Scott Robinson	0	0	0
PAN	Jose Abrego	0	0	0
GUA	Santiago Barrios	0	0	0
PAR	Francisco Espinola	0	0	0
TNT	Joel Hosein	0	0	0
COL	Hernan Torres	0	0	0
MEX	Hector	0	0	0
CUB	Manuel Valdes	0	0	0
CRC	Alvaro Chaves	0	0	0
USA	Lawrence Porter	0	0	0
CHI	Marco Alvarez	0	0	0
ECU	Manuel Castillo	0	0	0
HON	Pedro Banegas	0	0	0
ARG	Gustavo Suarez	0	0	0
DMR	Francis de la Rosa	0	0	0
PER	Raul Morales	0	0	0
CAN	Joseph Clarke	0	0	0
PAN	Angel Cedeno	0	0	0
GUA	Angel de Leon	0	0	0
PAR	Arnaldo Benitez	0	0	0
TNT	Anthony Gonzales	0	0	0
COL	Orlando Cardona	0	0	0
MEX	Guadalupe Moreno	0	0	0
CUB	Alejandro Medina	0	0	0
CRC	Francisco Solano	0	0	0
USA	Chris Barber	0	0	0
CHI	Cristian Rivera	0	0	0
ECU	Ramon Jaramillo	0	0	0
HON	Daniel Ortiz	0	0	0
ARG	Roberto Sosa	0	0	0
DMR	Vicente Tavarez	0	0	0
PER	Jaime Rojas	0	0	0
CAN	Edward Gauthier	0	0	0
PAN	Francisco Castillo	0	0	0
GUA	Domingo Ordonez	0	0	0
PAR	Sergio Baez	0	0	0
TNT	Nigel Maharaj	0	0	0
COL	Edwin Ruiz	0	0	0
MEX	Raul Ortiz	0	0	0
CUB	Enrique Blanco	0	0	0
CRC	Gerardo Vargas	0	0	0
USA	Casey Myers-Morgan	0	0	0
CHI	Patricio Torres	0	0	0
ECU	Jorge Molina	0	0	0
HON	Manuel Amador	0	0	0
ARG	Pedro Flores	0	0	0
DMR	Rafael Tejeda	0	0	0
PER	Enrique Aguilar	0	0	0
CAN	Marc Tremblay	0	0	0
PAN	Edwin Lopez	0	0	0
GUA	Vicente Mendez	0	0	0
PAR	Hugo Villalba	0	0	0
TNT	Adrian Johnson	0	0	0
COL	Edgar Jimenez	0	0	0
MEX	Carlos Torres	0	0	0
CUB	Ramos Marrero	0	0	0
CRC	Jorge Quesada	0	0	0
USA	Brandon Boyd	0	0	0
CHI	Jaime Riquelme	0	0	0
ECU	David Chavez	0	0	0
HON	Marlon Padilla	0	0	0
ARG	Juan Acosta	0	0	0
DMR	Tomas Batista	0	0	0
PER	Jose Quispe	0	0	0
CAN	Pierre Gagnon	0	0	0
PAN	Miguel Ortega	0	0	0
GUA	Tomas Morales	0	0	0
PAR	Ramon Medina	0	0	0
TNT	Nicholas Persad	0	0	0
COL	Andres Rodriguez	0	0	0
MEX	Cesar Romero	0	0	0
CUB	Armando Dominguez	0	0	0
CRC	Juan Araya	0	0	0
USA	Antonio Chavez	0	0	0
CHI	Hector Alvarez	0	0	0
ECU	Carlos Mendoza	0	0	0
HON	Ramon Bonilla	0	0	0
ARG	Oscar Gonzalez	0	0	0
DMR	Lorenzo Marte	0	0	0
PER	Javier Gonzales	0	0	0
CAN	Jacques Lavoie	0	0	0
PAN	Alberto Diaz	0	0	0
GUA	Felipe Juarez	0	0	0
PAR	Felix Cardozo	0	0	0
TNT	Francis Baptiste	0	0	0
COL	Javier Giraldo	0	0	0
MEX	Jaime Hernandez	0	0	0
CUB	Gustavo Vega	0	0	0
CRC	Manuel Castro	0	0	0
	
Team	Player	SV	SO	GA
USA	Bailey Myers-Morgan	0	0	0
CHI	Mauricio Fuentes	0	0	0
ECU	Vicente Salazar	0	0	0
HON	Wilmer Paz	0	0	0
ARG	Luis Aguirre	0	0	0
DMR	Maximo Ventura	0	0	0
PER	Luis Huaman	0	0	0
CAN	Tim Moore	0	0	0
PAN	Javier Guerra	0	0	0
GUA	Hugo Pop	0	0	0
PAR	Alcides Cabrera	0	0	0
TNT	Dexter Edwards	0	0	0
COL	German Arias	0	0	0
MEX	Sergio Gutierrez	0	0	0
CUB	Ruben Levya	0	0	0
CRC	Mario Morales	0	0	0
