Team	Player	SH	SG	GL
GER	Gerhard Muller	34	16	4
FRA	Olivier Rousseau	36	20	7
BEL	Jean-Pierre de Clercq	44	22	5
POR	Ricardo Goncalves	29	12	7
CRO	Niko Lovric	44	20	9
ESP	Diego Castillo	41	19	5
ENG	Neil Griffith	27	11	3
NED	Richard van der Heijden	52	22	2
CZE	Jan Prochazka	30	9	3
DEN	Niels Jensen	37	15	2
SER	Dragan Petrovic	39	14	6
ITA	Giovanni Ricci	47	22	5
HUN	Gabor Toth	31	15	7
AUS	Karl Mayer	31	17	5
WAL	Colin Pugh	31	15	7
SUI	Peter Buhler	19	8	3
POL	Pawel Lewandowski	32	16	5
UKR	Yuryi Melnyk	36	11	5
TUR	Yusuf Guler	25	12	5
BOS	Slobodan Kovacevic	43	12	4
ALB	Fatmir Dervishi	22	10	5
SVN	Franc Potocnik	35	15	4
IRE	Conor O'Sullivan	29	11	4
ROM	Nicolae Popescu	35	17	5
FIN	Matti Jokinen	37	14	5
ICE	Gunnar Bjornsson	41	12	2
NOR	Svein Berg	32	14	6
SCO	John Campbell III	29	7	3
SWE	Kjell Carlsson	28	13	5
GRE	Spyridon Karagiannis	37	16	6
SVK	Frantisek Molnar	23	4	0
LIT	Antanas Zukauskas	32	11	5
MON	Vojislav Milic	24	9	1
MOL	Valeriu Florea	39	13	4
EST	Vladimir Vaher	21	5	3
BUL	Stoyan Nikolov	38	16	5
MAC	Ilija Trajkovska	40	17	2
NIR	Nigel Smyth	31	9	4
BEL	Sergey Volkov	27	12	2
LAT	Juris Zvirbulis	29	10	4
KOS	Agron Krasniqi	31	10	2
CYP	Kyriacos Panayiotou	35	14	5
LIE	Werner Frommelt	27	6	1
SMR	Stefano Zonzini	17	8	3
MAL	Raymond Schembri	34	11	2
AND	Antoni de Silva	26	8	3
LUX	Jean-Paul Martin	29	13	6
GIB	Simon Reyes	26	13	3
FRO	Oli Mikkelsen	32	13	4
VAT	Agostino Antonioli	23	9	3
GER	Helmut Lange	20	7	3
FRA	Dominique Girard	22	12	0
BEL	Alain Goossens	24	12	5
POR	Joao Silva	39	15	6
CRO	Ivica Vidovic	30	15	6
ESP	Vicente Garcia	22	9	4
ENG	Simon Knight	40	21	5
NED	Jan van Dijk	30	16	2
CZE	Vaclav Dvorak	35	18	5
DEN	Lars Moller	13	4	0
SER	Aleksandar Milosevic	29	9	5
ITA	Giovanni Rossi	33	19	4
HUN	Sandor Toth	26	11	5
AUS	Franz Leitner	27	11	3
WAL	Craig Young	32	16	3
SUI	Andreas Wyss	24	12	3
POL	Grzegorz Kowalski	19	5	2
UKR	Anatolyi Pavlenko	32	10	2
TUR	Mustafa Simsek	20	12	5
BOS	Nikola Savic	22	9	1
ALB	Edmond Toska	27	10	4
SVN	Tomaz Korosec	28	10	4
IRE	Hugh Doherty	22	10	2
ROM	Florin Stan	37	13	3
FIN	Jukka Saarinen	20	6	2
ICE	Einar Bjornsson	24	10	2
