Team	Player	SH	SG	GL
GER	Gerhard Muller	0	0	0
FRA	Olivier Rousseau	0	0	0
BEL	Jean-Pierre de Clercq	0	0	0
POR	Ricardo Goncalves	0	0	0
CRO	Niko Lovric	0	0	0
ESP	Diego Castillo	0	0	0
ENG	Neil Griffith	0	0	0
NED	Richard van der Heijden	0	0	0
CZE	Jan Prochazka	0	0	0
DEN	Niels Jensen	0	0	0
SER	Dragan Petrovic	0	0	0
ITA	Giovanni Ricci	0	0	0
HUN	Gabor Toth	0	0	0
AUS	Karl Mayer	0	0	0
WAL	Colin Pugh	0	0	0
SUI	Peter Buhler	0	0	0
POL	Pawel Lewandowski	0	0	0
UKR	Yuryi Melnyk	0	0	0
TUR	Yusuf Guler	0	0	0
BOS	Slobodan Kovacevic	0	0	0
ALB	Fatmir Dervishi	0	0	0
SVN	Franc Potocnik	0	0	0
IRE	Conor O'Sullivan	0	0	0
ROM	Nicolae Popescu	0	0	0
FIN	Matti Jokinen	0	0	0
ICE	Gunnar Bjornsson	0	0	0
NOR	Svein Berg	0	0	0
SCO	John Campbell III	0	0	0
SWE	Kjell Carlsson	0	0	0
GRE	Spyridon Karagiannis	0	0	0
SVK	Frantisek Molnar	0	0	0
LIT	Antanas Zukauskas	0	0	0
MON	Vojislav Milic	0	0	0
MOL	Valeriu Florea	0	0	0
EST	Vladimir Vaher	0	0	0
BUL	Stoyan Nikolov	0	0	0
MAC	Ilija Trajkovska	0	0	0
NIR	Nigel Smyth	0	0	0
BEL	Sergey Volkov	0	0	0
LAT	Juris Zvirbulis	0	0	0
KOS	Agron Krasniqi	0	0	0
CYP	Kyriacos Panayiotou	0	0	0
LIE	Werner Frommelt	0	0	0
SMR	Stefano Zonzini	0	0	0
MAL	Raymond Schembri	0	0	0
AND	Antoni de Silva	0	0	0
LUX	Jean-Paul Martin	0	0	0
GIB	Simon Reyes	0	0	0
FRO	Oli Mikkelsen	0	0	0
VAT	Agostino Antonioli	0	0	0
GER	Helmut Lange	0	0	0
FRA	Dominique Girard	0	0	0
BEL	Alain Goossens	0	0	0
POR	Joao Silva	0	0	0
CRO	Ivica Vidovic	0	0	0
ESP	Vicente Garcia	0	0	0
ENG	Simon Knight	0	0	0
NED	Jan van Dijk	0	0	0
CZE	Vaclav Dvorak	0	0	0
DEN	Lars Moller	0	0	0
SER	Aleksandar Milosevic	0	0	0
ITA	Giovanni Rossi	0	0	0
HUN	Sandor Toth	0	0	0
AUS	Franz Leitner	0	0	0
WAL	Craig Young	0	0	0
SUI	Andreas Wyss	0	0	0
POL	Grzegorz Kowalski	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
TUR	Mustafa Simsek	0	0	0
BOS	Nikola Savic	0	0	0
ALB	Edmond Toska	0	0	0
SVN	Tomaz Korosec	0	0	0
IRE	Hugh Doherty	0	0	0
ROM	Florin Stan	0	0	0
FIN	Jukka Saarinen	0	0	0
ICE	Einar Bjornsson	0	0	0
NOR	Kjell Nilsen	0	0	0
SCO	Ian Murray	0	0	0
SWE	Nils Pettersson	0	0	0
GRE	Georgios Nikolaidis	0	0	0
SVK	Stefan Takac	0	0	0
LIT	Arvydas Vasiliauskas	0	0	0
MON	Danilo Milosevic	0	0	0
MOL	Serghei Cojocari	0	0	0
EST	Andrei Kaasik	0	0	0
BUL	Iliya Dimitrov	0	0	0
MAC	Gjorgji Cvetkovska	0	0	0
NIR	Gareth Mulholland	0	0	0
BEL	Mikhail Pashkevich	0	0	0
LAT	Janis Berzins	0	0	0
KOS	Sanije Bytyqi	0	0	0
CYP	Christos Kyprianou	0	0	0
LIE	Georg Gstohl	0	0	0
SMR	Massimo Zafferani	0	0	0
MAL	Kenneth Spiteri	0	0	0
AND	Carles Vidal	0	0	0
LUX	Marc Nilles	0	0	0
GIB	Christian Perera	0	0	0
FRO	Jogvan Hentze	0	0	0
VAT	Friedli Polisca	0	0	0
GER	Jurgen Richter	0	0	0
FRA	Jacques Lemaire	0	0	0
BEL	Vincent van de Velde	0	0	0
