Team	Player	SH	SG	GL
FRA	Olivier Rousseau	25	12	1
CZE	Jan Prochazka	31	12	1
ITA	Giovanni Ricci	20	11	3
FRO	Oli Mikkelsen	11	6	3
BOS	Slobodan Kovacevic	22	7	1
AUS	Karl Mayer	21	5	2
SER	Dragan Petrovic	23	12	5
ALB	Fatmir Dervishi	10	3	1
IRE	Conor O'Sullivan	29	11	5
MAC	Ilija Trajkovska	17	7	0
CRO	Niko Lovric	30	11	2
SUI	Peter Buhler	24	6	2
ENG	Neil Griffith	19	6	1
SVN	Franc Potocnik	37	18	4
LUX	Jean-Paul Martin	16	7	2
TUR	Yusuf Guler	7	5	1
GER	Gerhard Muller	19	8	6
NOR	Svein Berg	10	1	1
BEL	Jean-Pierre de Clercq	42	21	5
UKR	Yuryi Melnyk	20	8	1
BUL	Stoyan Nikolov	15	4	1
HUN	Gabor Toth	14	3	0
DEN	Niels Jensen	14	5	2
POR	Ricardo Goncalves	23	8	0
GRE	Spyridon Karagiannis	24	7	3
FRA	Dominique Girard	13	5	2
CZE	Vaclav Dvorak	29	8	2
ITA	Giovanni Rossi	24	11	3
FRO	Jogvan Hentze	18	7	3
BOS	Nikola Savic	13	5	4
AUS	Franz Leitner	20	7	4
SER	Aleksandar Milosevic	18	8	4
ALB	Edmond Toska	14	2	0
IRE	Hugh Doherty	16	7	2
MAC	Gjorgji Cvetkovska	7	3	2
CRO	Ivica Vidovic	26	9	2
SUI	Andreas Wyss	22	10	5
ENG	Simon Knight	7	2	0
SVN	Tomaz Korosec	24	9	3
LUX	Marc Nilles	11	3	0
TUR	Mustafa Simsek	9	4	0
GER	Helmut Lange	26	15	3
NOR	Kjell Nilsen	12	5	3
BEL	Alain Goossens	20	9	5
UKR	Anatolyi Pavlenko	16	5	1
BUL	Iliya Dimitrov	14	6	2
HUN	Sandor Toth	13	4	2
DEN	Lars Moller	15	11	3
POR	Joao Silva	26	15	2
GRE	Georgios Nikolaidis	20	5	1
FRA	Jacques Lemaire	9	3	1
CZE	Petr Navratil	7	3	2
ITA	Pietro Greco	6	4	1
FRO	Heri Rasmussen	6	3	1
BOS	Milan Marjanovic	14	9	3
AUS	Josef Steiner	9	3	1
SER	Jovan Trajkovic	14	9	1
ALB	Arben Sulaj	6	2	0
IRE	Eamon Murphy	19	5	2
MAC	Jovan Stojanovski	9	2	0
CRO	Franja Blazevic	7	0	0
SUI	Werner Frei	21	12	6
ENG	Benjamin Webb	4	2	2
SVN	Marjan Krajnc	10	2	1
LUX	Laurent Schroeder	6	2	0
TUR	Huseyin Sahin	9	2	0
GER	Jurgen Richter	14	4	0
NOR	Geir Gundersen	9	4	2
BEL	Vincent van de Velde	33	15	4
UKR	Vasylyi Yvanova	12	5	1
BUL	Stefan Todorov	7	1	0
HUN	Istvan Kiss	3	1	0
DEN	Soren Holm	4	0	0
POR	Carlos Pereira	11	4	0
GRE	Evangelos Mylonas	4	2	0
FRA	Bernard Michel	9	4	0
CZE	Michal Fialova	14	4	1
ITA	Salvatore Moretti	6	3	2
FRO	Danjal Hojgaard	10	3	2
BOS	Zeljko Vukevic	13	5	0
AUS	Johann Brunner	8	5	2
SER	Zoran Ilic	9	2	0
ALB	Agron Lleshi	8	3	1
IRE	Philip Murray	13	5	3
MAC	Stojan Petrovska	10	4	1
CRO	Roberjt Grgic	7	2	0
SUI	Stefan Meier	15	2	0
ENG	Stuart Holmes	5	3	1
SVN	Branko Novac	8	3	1
LUX	Pascal Ferreira	5	3	1
TUR	Omer Koc	3	1	0
GER	Wolfgang Koch	7	2	0
NOR	Jan Johansen	3	2	0
BEL	Marc Renard	11	6	2
UKR	Vyktor Kovalenko	12	5	4
BUL	Emil Petrov	9	3	3
HUN	Zoltan Kocsis	3	1	1
DEN	Morten Rasmussen	2	0	0
POR	Sergio Alves	7	4	3
GRE	Stavros Giannopoulos	10	5	0
FRA	Rene Chevalier	5	2	1
CZE	Miroslav Svoboda	6	3	1
ITA	Giuseppe Giordano	4	1	0
FRO	Rogvi Thomsen	4	2	1
BOS	Marko Bosnjak	2	1	0
AUS	Andreas Schwarz	6	2	1
SER	Petar Stojanovic	3	0	0
ALB	Ilir Hoxha	5	2	0
IRE	Adrian Walsh	6	3	2
MAC	Petre Nikolov	0	0	0
CRO	Stjepan Novosel	4	1	1
SUI	Marcel Roth	14	7	1
ENG	Graham Chapman	3	1	1
SVN	Anton Zupan	4	1	0
LUX	Rene Weis	6	1	1
TUR	Mehmet Celik	3	1	0
GER	Hans Weber	3	1	0
NOR	Arne Hagen	2	1	1
BEL	Geert Verhoeven	5	0	0
UKR	Nykolai Moroz	8	1	0
BUL	Petar Hristov	8	3	0
HUN	Laszlo Kovacs	1	0	0
DEN	Henrik Mikkelsen	2	0	0
POR	Fernando Ribiero	6	2	1
GRE	Dimitrios Papadopoulos	4	2	2
FRA	Jean Gauthier	6	2	0
CZE	Pavel Vesela	8	6	2
ITA	Francesco Caruso	3	2	0
FRO	Jens Niclasen	2	2	0
BOS	Ilija Hodzic	3	2	0
AUS	Gerhard Bauer	4	1	0
SER	Slobodan Krstic	2	0	0
ALB	Luan Murati	6	1	0
IRE	Declan Burke	2	1	0
MAC	Boris Ristov	0	0	0
CRO	Zlatko Novak	4	1	0
SUI	Rolf Bachmann	10	3	1
ENG	Nigel Price	2	1	0
SVN	Bojan Kavcic	3	2	0
LUX	Lucien Grethen	1	0	0
TUR	Ramazan Yilmaz	2	0	0
GER	Manfred Fischer	4	1	0
NOR	Erik Olsen	5	2	0
BEL	Christian Janssen	6	4	1
UKR	Aleksandr Olyinyk	8	3	1
BUL	Veselin Ivanov	6	1	0
HUN	Jozsef Szabo	3	0	0
DEN	Jesper Thomsen	4	2	0
POR	Vitor Correia	5	2	0
GRE	Konstantin Anastasiou	4	2	0
	
Team	Player	SV	SO	GA
FRA	Pierre Blanchard	9	15	6
CZE	Jiri Novakova	31	42	11
ITA	Antonio de Luca	17	27	10
FRO	Roi Joensen	26	36	10
BOS	Slavko Maric	23	30	7
AUS	Martin Lang	16	21	5
SER	Tomislav Rakic	9	15	6
ALB	Sokol Gjoka	13	18	5
IRE	Oliver O'Donnell	21	34	13
MAC	Zoran Atanasov	18	29	11
CRO	Miroslav Pavlovic	15	20	5
SUI	Markus Schneider	37	44	7
ENG	Stephen Hunt	10	16	6
SVN	Andrej Kos	17	27	10
LUX	Francois Engel	19	26	7
TUR	Ahmet Ozcan	12	23	11
GER	Klaus Bauer	17	23	6
NOR	Lars Pedersen	19	29	10
BEL	Eddy van den Broeck	23	32	9
UKR	Serhei Tkachenko	23	25	2
BUL	Krasimi Georgiev	20	24	4
HUN	Janos Meszaros	16	23	7
DEN	Jens Clausen	11	17	6
POR	Pedro Reis	12	15	3
GRE	Ilias Vasileiadis	17	26	9
