Team	Player	SH	SG	GL
FRA	Olivier Rousseau	0	0	0
CZE	Jan Prochazka	0	0	0
ITA	Giovanni Ricci	0	0	0
FRO	Oli Mikkelsen	0	0	0
BOS	Slobodan Kovacevic	0	0	0
AUS	Karl Mayer	0	0	0
SER	Dragan Petrovic	0	0	0
ALB	Fatmir Dervishi	0	0	0
IRE	Conor O'Sullivan	0	0	0
MAC	Ilija Trajkovska	0	0	0
CRO	Niko Lovric	0	0	0
SUI	Peter Buhler	0	0	0
ENG	Neil Griffith	0	0	0
SVN	Franc Potocnik	0	0	0
LUX	Jean-Paul Martin	0	0	0
TUR	Yusuf Guler	0	0	0
GER	Gerhard Muller	0	0	0
NOR	Svein Berg	0	0	0
BEL	Jean-Pierre de Clercq	0	0	0
UKR	Yuryi Melnyk	0	0	0
BUL	Stoyan Nikolov	0	0	0
HUN	Gabor Toth	0	0	0
DEN	Niels Jensen	0	0	0
POR	Ricardo Goncalves	0	0	0
GRE	Spyridon Karagiannis	0	0	0
FRA	Dominique Girard	0	0	0
CZE	Vaclav Dvorak	0	0	0
ITA	Giovanni Rossi	0	0	0
FRO	Jogvan Hentze	0	0	0
BOS	Nikola Savic	0	0	0
AUS	Franz Leitner	0	0	0
SER	Aleksandar Milosevic	0	0	0
ALB	Edmond Toska	0	0	0
IRE	Hugh Doherty	0	0	0
MAC	Gjorgji Cvetkovska	0	0	0
CRO	Ivica Vidovic	0	0	0
SUI	Andreas Wyss	0	0	0
ENG	Simon Knight	0	0	0
SVN	Tomaz Korosec	0	0	0
LUX	Marc Nilles	0	0	0
TUR	Mustafa Simsek	0	0	0
GER	Helmut Lange	0	0	0
NOR	Kjell Nilsen	0	0	0
BEL	Alain Goossens	0	0	0
UKR	Anatolyi Pavlenko	0	0	0
BUL	Iliya Dimitrov	0	0	0
HUN	Sandor Toth	0	0	0
DEN	Lars Moller	0	0	0
POR	Joao Silva	0	0	0
GRE	Georgios Nikolaidis	0	0	0
FRA	Jacques Lemaire	0	0	0
CZE	Petr Navratil	0	0	0
ITA	Pietro Greco	0	0	0
FRO	Heri Rasmussen	0	0	0
BOS	Milan Marjanovic	0	0	0
AUS	Josef Steiner	0	0	0
SER	Jovan Trajkovic	0	0	0
ALB	Arben Sulaj	0	0	0
IRE	Eamon Murphy	0	0	0
MAC	Jovan Stojanovski	0	0	0
CRO	Franja Blazevic	0	0	0
SUI	Werner Frei	0	0	0
ENG	Benjamin Webb	0	0	0
SVN	Marjan Krajnc	0	0	0
LUX	Laurent Schroeder	0	0	0
TUR	Huseyin Sahin	0	0	0
GER	Jurgen Richter	0	0	0
NOR	Geir Gundersen	0	0	0
BEL	Vincent van de Velde	0	0	0
