Position	Name	Country	Shooting	Speed	Defense	Goalkeeping	Overall	Rank	Region	Age
DEF	Rodrigo de Jesus	Brazil	26	47	49	0	44.9947	1	International	28
DEF	Christian Janssen	Belgium	29	48	47	0	44.80813333	2	Prime	35
DEF	Pavel Vesela	Czechia	27	43	50	0	44.33763333	3	Europe	27
DEF	Antonio Rudiger	Germany	33	46	46	0	44.29793333	4	Prime	36
DEF	Jaime Riquelme	Chile	29	43	48	0	43.65096667	5	International	30
DEF	Rafael Delgado	Spain	20	47	48	0	43.4847	6	Mediterranean	30
DEF	Juan Narvaez	Puerto Rico	33	39	47	0	42.4739	7	America	35
DEF	Vitor Correia	Portugal	21	41	49	0	42.16076667	8	Mediterranean	29
DEF	Wilhelm Schafer	Germany	21	45	46	0	41.9645	9	Prime	25
DEF	Theo Tchouameni	France	28	44	44	0	41.77773333	10	Prime	26
DEF	Jozsef Szabo	Hungary	26	46	43	0	41.60126667	11	Europe	32
DEF	Gonzalo Machado	Uruguay	31	40	45	0	41.454	12	International	26
DEF	Clive Jones	Wales	33	43	42	0	41.25763333	13	Prime	30
DEF	Cristian Molina	Argentina	26	44	43	0	40.9344	14	International	25
DEF	Silas McBride	United States	29	36	47	0	40.80693333	15	America	28
DEF	Rene Chevalier	France	25	47	41	0	40.74803333	16	Prime	28
DEF	Jean Gauthier	France	23	37	48	0	40.65036667	17	Prime	33
DEF	Henrik Mikkelsen	Denmark	22	38	47	0	40.30713333	18	Europe	38
DEF	Ilija Hodzic	Bosnia and Herzegovina	24	43	43	0	40.26763333	19	Europe	33
DEF	Jose Romero	Spain	21	38	47	0	40.14046667	20	Mediterranean	31
DEF	Mbaye Cisse	Senegal	24	39	45	0	39.9539	21	International	38
DEF	Andres Rodriguez	Colombia	22	35	48	0	39.81683333	22	International	29
DEF	Francesco Caruso	Italy	28	31	48	0	39.4831	23	Mediterranean	28
DEF	Ramazan Yilmaz	Turkey	28	34	46	0	39.4634	24	Mediterranean	34
DEF	Eduardo Vaca	Bolivia	24	34	47	0	39.30673333	25	International	23
DEF	Jeyland Mitchell	Costa Rica	24	32	47	0	38.63986667	26	America	28
DEF	Shojae Cheshmi	Iran	28	33	45	0	38.61996667	27	Mediterranean	39
DEF	Jose Quispe	Peru	33	27	47	0	38.4727	28	International	37
DEF	Krzysztof Sikora	Poland	32	36	41	0	38.24693333	29	Europe	33
DEF	Michele di Stefano	Italy	23	34	45	0	38.12006667	30	Mediterranean	24
DEF	Nykolai Moroz	Ukraine	35	28	45	0	38.11946667	31	Europe	28
DEF	Miguel Ortega	Panama	30	32	44	0	38.10986667	32	America	28
DEF	Aleksandr Olyinyk	Ukraine	39	24	46	0	37.9624	33	Europe	31
DEF	Manfred Fischer	Germany	29	24	49	0	37.82573333	34	Prime	26
DEF	Antonio Chavez	United States	30	25	48	0	37.81583333	35	America	28
DEF	Bojan Kavcic	Slovenia	29	30	45	0	37.78633333	36	Europe	30
DEF	Pavel Ivanova	Russia	32	39	38	0	37.71723333	37	Europe	30
DEF	Terezinha Rocha	Brazil	22	31	46	0	37.4631	38	International	21
DEF	Juan Araya	Costa Rica	25	29	46	0	37.29623333	39	America	30
DEF	Jeroen de Jong	Netherlands	24	31	45	0	37.28643333	40	Prime	26
DEF	Hernando Orozco	Colombia	22	39	40	0	37.07056667	41	International	32
DEF	Nigel Price	England	22	25	49	0	36.9925	42	Prime	35
DEF	Enrique de Leon	Uruguay	24	36	41	0	36.9136	43	International	29
DEF	Nicholas Persad	Trinidad and Tobago	34	34	39	0	36.8934	44	America	30
DEF	Arthur Coelho	Brazil	24	37	40	0	36.73703333	45	International	35
DEF	Jefferson Uribe	Colombia	27	40	37	0	36.70733333	46	International	28
DEF	Darren King	Australia	36	43	32	0	36.65763333	47	International	33
DEF	Luan Murati	Albania	28	30	43	0	36.59966667	48	Mediterranean	29
DEF	Richard Lemaire	France	21	41	38	0	36.55076667	49	Prime	25
DEF	Timothy Theate	Belgium	35	46	30	0	36.47126667	50	Prime	26
DEF	Zizo Fathi	Egypt	21	30	45	0	36.453	51	Mediterranean	24
DEF	Lucas Luiz	Brazil	29	35	39	0	36.3935	52	International	33
DEF	Sherif Farouk	Egypt	23	41	37	0	36.3741	53	Mediterranean	26
DEF	Erik Olsen	Norway	22	43	36	0	36.3643	54	Europe	28
DEF	Marcel Wagner	Austria	20	24	49	0	36.32573333	55	Europe	28
DEF	Craig Henderson	Scotland	28	23	47	0	36.30563333	56	Prime	35
DEF	Rowllin Singh	India	26	42	35	0	36.18753333	57	International	34
DEF	Ollie Rice	England	26	48	31	0	36.14813333	58	Prime	30
DEF	Giuseppe Giordano	Italy	25	30	43	0	36.09966667	59	Mediterranean	27
DEF	Marlon Padilla	Honduras	20	43	36	0	36.03096667	60	America	32
DEF	Tomasz Zajac	Poland	30	21	47	0	35.9721	61	Europe	36
DEF	Park Jun-Seo	South Korea	25	25	46	0	35.9625	62	International	24
DEF	Clive Moore	England	24	33	41	0	35.9133	63	Prime	32
DEF	Javier Giraldo	Colombia	21	28	45	0	35.78613333	64	International	26
DEF	Odilon Gradel	Cote d'Ivoire	26	27	44	0	35.77603333	65	International	22
DEF	Ali Al-Ahbabi	United Arab Emirates	25	32	41	0	35.74653333	66	Mediterranean	30
DEF	Mehmet Celik	Turkey	24	43	34	0	35.67763333	67	Mediterranean	32
DEF	Fabrice Blanchard	France	23	45	33	0	35.66783333	68	Prime	30
DEF	Nestor Moreira	Uruguay	28	47	30	0	35.63803333	69	International	33
DEF	Karl Olsson	Sweden	30	26	43	0	35.59926667	70	Europe	31
DEF	Jesper Thomsen	Denmark	21	32	42	0	35.58986667	71	Europe	29
DEF	Adrian Walsh	Ireland	21	35	40	0	35.57016667	72	Prime	31
DEF	Rolf Bachmann	Switzerland	29	40	34	0	35.51066667	73	Europe	25
DEF	Jacques Lavoie	Canada	22	45	33	0	35.50116667	74	America	35
DEF	Guillaume Deschamps	France	23	29	43	0	35.4329	75	Prime	35
DEF	Andres Molina	Colombia	21	36	39	0	35.3936	76	International	36
DEF	Siyanda Zwane	South Africa	24	39	36	0	35.3639	77	International	36
DEF	Amine Ounahi	Morocco	22	27	44	0	35.10936667	78	Mediterranean	27
DEF	Felix Rodriguez	Venezuela	27	32	39	0	35.05986667	79	International	37
DEF	Abdoul Oumarou	Niger	31	39	33	0	35.00056667	80	International	28
DEF	Hector Alvarez	Chile	33	38	33	0	35.00046667	81	International	35
DEF	Johann Gunnarsson	Iceland	23	38	36	0	34.8638	82	Europe	37
DEF	Stjepan Novosel	Croatia	21	22	47	0	34.80553333	83	Mediterranean	28
DEF	Arthur Kayembe	Congo DR	24	34	38	0	34.71673333	84	International	36
DEF	Armando Dominguez	Cuba	22	38	36	0	34.69713333	85	America	32
DEF	Felix Cardozo	Paraguay	35	33	35	0	34.68663333	86	International	32
DEF	Hamid Bagheri	Iran	31	38	33	0	34.66713333	87	Mediterranean	31
DEF	Gian Selva	San Marino	31	27	40	0	34.56936667	88	Mediterranean	30
DEF	Reinildo Dove	Mozambique	26	31	39	0	34.55976667	89	International	29
DEF	Martijn van den Berg	Netherlands	27	41	32	0	34.49076667	90	Prime	30
DEF	Cesar Romero	Mexico	24	21	46	0	34.4621	91	America	29
DEF	Diego Correia	Brazil	23	26	43	0	34.4326	92	International	32
DEF	Liu Lei	China	23	29	41	0	34.4129	93	International	25
DEF	Fouad Selemani	Comoros	24	30	40	0	34.403	94	International	29
DEF	Martin Patiño	Philippines	23	38	35	0	34.3538	95	International	32
DEF	Hans Weber	Germany	30	25	41	0	34.24583333	96	Prime	32
DEF	Zuhair Hassan	Saudi Arabia	26	36	35	0	34.18693333	97	Mediterranean	36
DEF	Mitch Alick	Vanuatu	29	36	34	0	34.17693333	98	International	28
DEF	Gavin Powell	England	25	41	32	0	34.15743333	99	Prime	26
DEF	Petar Stojanovic	Serbia	31	38	32	0	34.15713333	100	Europe	29
DEF	Emilio Segundo	Argentina	26	25	42	0	34.08916667	101	International	27
DEF	Francis Matasi	Kenya	22	33	38	0	34.04996667	102	International	29
DEF	Felipe Juarez	Guatemala	26	31	38	0	34.04976667	103	America	32
DEF	David Chavez	Ecuador	29	31	37	0	34.03976667	104	International	33
DEF	Ibrahim Razakanantenaina	Madagascar	22	36	36	0	34.03026667	105	International	32
DEF	Frantz Germaine	Haiti	20	40	34	0	34.01066667	106	America	29
DEF	Laszlo Kovacs	Hungary	31	25	40	0	33.9025	107	Europe	29
DEF	Mohamed Benyahia	Algeria	29	32	36	0	33.8632	108	Mediterranean	35
DEF	Willian Pacho	Ecuador	28	37	33	0	33.8337	109	International	28
DEF	Kenji Yamaguchi	Japan	35	38	30	0	33.8038	110	International	32
DEF	Kouame Ouattara	Cote d'Ivoire	31	26	39	0	33.72593333	111	International	30
DEF	Abdel Allah	Jordan	30	31	36	0	33.69643333	112	Mediterranean	28
DEF	Guilherme Miranda	Brazil	21	37	35	0	33.68703333	113	International	25
DEF	Lars Jonsson	Sweden	26	36	34	0	33.67693333	114	Europe	32
DEF	Alejandro Romero	Paraguay	31	35	33	0	33.66683333	115	International	37
DEF	Karim Mohamed	Tunisia	27	40	31	0	33.64733333	116	Mediterranean	31
DEF	Song Do-Hu	South Korea	24	26	41	0	33.57926667	117	International	30
DEF	Javier Gonzales	Peru	28	24	41	0	33.57906667	118	International	34
DEF	Johan Vasquez	Mexico	27	29	38	0	33.54956667	119	America	24
DEF	Trevor Shaw	England	24	32	37	0	33.53986667	120	Prime	23
DEF	Akhyar Saad	Malaysia	23	26	41	0	33.4126	121	International	37
DEF	Amar Touati	Algeria	27	24	41	0	33.4124	122	Mediterranean	30
DEF	Heikki Laine	Finland	29	23	41	0	33.4123	123	Europe	37
DEF	Zhu Linpeng	China	25	28	39	0	33.3928	124	International	27
DEF	Ilir Hoxha	Albania	31	25	39	0	33.3925	125	Mediterranean	31
DEF	Bassel Haidar	Lebanon	25	43	29	0	33.2943	126	Mediterranean	23
DEF	Darius Balciunas	Lithuania	26	21	43	0	33.26543333	127	Europe	35
