Team	League	Identity	Budget	Spent	Player Name	Position	Country	Rating	Cost
Stratton United	Prime	Balanced	222.0	222.0	Wolfgang Koch	MID	Germany	46.7541	39.47
Stratton United	Prime	Balanced	222.0	222.0	Antoine Gauthier	FWD	France	44.1846	34.22
Stratton United	Prime	Balanced	222.0	222.0	Gustavo Techera	FWD	Uruguay	43.4149	31.78
Stratton United	Prime	Balanced	222.0	222.0	Christian Janssen	DEF	Belgium	44.8081	26.23
Stratton United	Prime	Balanced	222.0	222.0	Edgar Jimenez	MID	Colombia	42.2138	26.64
Stratton United	Prime	Balanced	222.0	222.0	Dayot Hernandez	MID	France	41.2332	22.75
Stratton United	Prime	Balanced	222.0	222.0	Gonzalo Machado	DEF	Uruguay	41.454	18.41
Stratton United	Prime	Balanced	222.0	222.0	Trevor Shaw	DEF	England	33.5399	8.0
Stratton United	Prime	Balanced	222.0	222.0	Saïd Djaloud	GK	Comoros	33.34	8.5
Haverford Black	Prime	Balanced	214.0	214.0	Dragan Petrovic	FWD	Serbia	44.2234	37.8
Haverford Black	Prime	Balanced	214.0	214.0	Andrew Moore	FWD	Australia	42.9438	32.48
Haverford Black	Prime	Balanced	214.0	214.0	Jurgen Richter	MID	Germany	43.4838	29.83
Haverford Black	Prime	Balanced	214.0	214.0	Jaime Riquelme	DEF	Chile	43.651	26.41
Haverford Black	Prime	Balanced	214.0	214.0	Jose Lopes	GK	Brazil	42.63	24.44
Haverford Black	Prime	Balanced	214.0	214.0	Theo Tchouameni	DEF	France	41.7777	20.83
Haverford Black	Prime	Balanced	214.0	214.0	Ko Kamada	MID	Japan	38.6832	17.21
Haverford Black	Prime	Balanced	214.0	214.0	Charles Stewart	MID	Scotland	31.8525	8.0
Haverford Black	Prime	Balanced	214.0	214.0	Murray Campbell	DEF	New Zealand	32.363	6.5
Stella Grey	Prime	Offense	210.0	210.0	Kwon Seung-Hyeok	FWD	South Korea	46.4646	46.91
Stella Grey	Prime	Offense	210.0	210.0	Park Hyeon-Bin	FWD	South Korea	46.2242	43.73
Stella Grey	Prime	Offense	210.0	210.0	Stephen Hunt	GK	England	42.44	23.27
Stella Grey	Prime	Offense	210.0	210.0	Wilhelm Schafer	DEF	Germany	41.9645	20.41
Stella Grey	Prime	Offense	210.0	210.0	Clive Jones	DEF	Wales	41.2576	18.45
Stella Grey	Prime	Offense	210.0	210.0	Gilberto Delgado	MID	Puerto Rico	38.9532	18.98
Stella Grey	Prime	Offense	210.0	210.0	Salisu Abdul Samed	MID	Ghana	37.2035	14.75
Stella Grey	Prime	Offense	210.0	210.0	Gideon Seidu	DEF	Ghana	32.294	6.5
Stella Grey	Prime	Offense	210.0	210.0	Juan Apaza	MID	Bolivia	30.8728	6.5
Chateau Roux	Prime	Balanced	209.0	209.0	Gustavo Suarez	FWD	Argentina	46.484	46.27
Chateau Roux	Prime	Balanced	209.0	209.0	Diego Castillo	FWD	Spain	41.9434	30.23
Chateau Roux	Prime	Balanced	209.0	209.0	Lisandro Romero	MID	Argentina	42.5031	27.43
Chateau Roux	Prime	Balanced	209.0	209.0	Pierre Blanchard	GK	France	42.43	24.77
Chateau Roux	Prime	Balanced	209.0	209.0	Bailey Myers-Morgan	MID	United States	40.4534	22.29
Chateau Roux	Prime	Balanced	209.0	209.0	Casey Myers-Morgan	MID	United States	38.133	16.18
Chateau Roux	Prime	Balanced	209.0	209.0	Jeroen de Jong	DEF	Netherlands	37.2864	13.83
Chateau Roux	Prime	Balanced	209.0	209.0	Marcel Verhoeven	DEF	Belgium	32.7839	8.0
Chateau Roux	Prime	Balanced	209.0	209.0	Claude Timmermans	DEF	Belgium	32.3532	8.0
Glass Castle FC	Prime	Offense	197.0	197.0	Richard van der Heijden	FWD	Netherlands	46.7244	49.21
Glass Castle FC	Prime	Offense	197.0	197.0	Marco Alvarez	FWD	Chile	43.4246	38.16
Glass Castle FC	Prime	Offense	197.0	197.0	Ekanit Yooyen	GK	Thailand	40.64	21.4
Glass Castle FC	Prime	Offense	197.0	197.0	Marc Watkins	MID	England	39.6237	19.89
Glass Castle FC	Prime	Offense	197.0	197.0	Zeljko Vukevic	MID	Bosnia and Herzegovina	38.1426	18.3
Glass Castle FC	Prime	Offense	197.0	197.0	Manfred Fischer	DEF	Germany	37.8257	14.58
Glass Castle FC	Prime	Offense	197.0	197.0	Nigel Price	DEF	England	36.9925	12.09
Glass Castle FC	Prime	Offense	197.0	197.0	Hans Weber	DEF	Germany	34.2458	8.7
Glass Castle FC	Prime	Offense	197.0	197.0	Francisco Rodrigues	MID	Angola	31.6323	7.18
Thurston FC East	Prime	Control	193.0	192.05	Bernard Michel	MID	France	42.7536	30.32
Thurston FC East	Prime	Control	193.0	192.05	Nigel Maharaj	MID	Trinidad and Tobago	42.7238	32.8
Thurston FC East	Prime	Control	193.0	192.05	Adrian Llewellyn	MID	Wales	42.7039	27.82
Thurston FC East	Prime	Control	193.0	192.05	Vitor Correia	DEF	Portugal	42.1608	22.59
Thurston FC East	Prime	Control	193.0	192.05	Hernan Torres	FWD	Colombia	39.1244	20.57
Thurston FC East	Prime	Control	193.0	192.05	Mbaye Cisse	DEF	Senegal	39.9539	17.99
Thurston FC East	Prime	Control	193.0	192.05	Theo de Boer	FWD	Netherlands	35.8343	13.91
Thurston FC East	Prime	Control	193.0	192.05	Brahima Kamagate	GK	Cote d'Ivoire	33.3	8.5
Thurston FC East	Prime	Control	193.0	192.05	Terence Kane	DEF	Northern Ireland	32.1569	7.05
Thurston FC West	Prime	Control	193.0	192.46	Vincent van de Velde	MID	Belgium	43.5046	34.82
Thurston FC West	Prime	Control	193.0	192.46	Antonio Rudiger	DEF	Germany	44.2979	27.62
