Team	League	Mascot / Icon	Vibe
Stratton United	Prime	Letter "S"	Geometric Lettermark
Haverford Black	Prime	Stallion	Power/Speed
Stella Grey	Prime	Shooting Star	Celestial Motion
Chateau Roux	Prime	Castle Turret	Architectural
Glass Castle FC	Prime	Prism	Crystalline
Thurston FC East	Prime	Heron	Coastal Bird
Thurston FC West	Prime	Clipper Ship	Maritime Heritage
Eisenwald 1900	Prime	Pine Tree	Forest/Fortress
Askhatansa	Prime	Steppe Eagle	Central Asian Hunter
Cheicester City	Prime	Panther	Sleek Predator
Barroclaugh Athletic	Prime	Stag	Highlands
Havenpoort FC	Prime	Ship's Wheel	Port Authority
Les Brasseurs	Prime	Barley Sheaf	Brewery
Corsaires de Calais	Prime	Winged Rapier	Elite Maritime Order
Stedham Journeymen	Prime	Compass Rose	Navigator
Celtic Cross FC	Prime	Celtic Cross	Heritage Icon
Imperiale Roma	Med	She-Wolf	Legendary Mother
Olympias Athena	Med	Owl	Wisdom of Athena
Castellano Madrid	Med	Bear	Metropolitan Symbol
Catalonia Gothic	Med	Bat	Bat of Valencia/Catalonia
Lisbon United	Med	Caravel	Ship of Discovery
Visconti Serpents	Med	Serpent	The Biscione
Le Rocher Monaco	Med	Crown	The Principality
Barbary Apes	Med	Ape	The Rock Macaque
Al-Qahira FC	Med	Sphinx	Ancient Giza
Fursan al-Arab	Med	Scimitar	Cavalry Blade
Najm al-Bayda	Med	5-Pointed Star	The White Star
Lions of Carthage	Med	Lion	The Only Lion
Tripoli Sporting	Med	Palm Tree	Coastal Oasis
Alexandria Faros	Med	Lighthouse	The Great Pharos
Damascus Steel	Med	Patterned Blade	Steel Mastery
Bosphorus Blue	Med	Bridge Arch	The Strait
Moscow Krepost	Euro	Onion Dome	Skyline Motif
Slavutych Kyiv	Euro	Chestnut Leaf	Symbol of Kyiv
Edelweiss Zurich	Euro	Edelweiss Flower	Alpine Bloom
Stockholm United	Euro	Three Crowns	National Crest
Oslo Vikinger	Euro	Viking Helmet	Norse Warrior
Donau Wien	Euro	Double-Headed Eagle	Austro-Hungarian
Dunav Belgrade	Euro	White Monument	White City
Sisu Helsinki	Euro	Wolverine	Northern Resilience
Kongens FC	Euro	Swan	National Bird
Bohemian Gryphons	Euro	Gryphon	Legendary Guardian
Korona Warsaw	Euro	Mermaid	Warsaw Syrenka
Magyar Huszar	Euro	Falcon (Turul)	Magyar Legend
Bucharest International	Euro	Arc de Triumf	Metropolitan Arch
Sarajevo Grad	Euro	Lily	Garden City
Reykjavik Isbjorn	Euro	Polar Bear	Ice Bear
Slavia Tatry	Euro	Lynx	Mountain Predator
New York Empire	Backyard	Statue Flame	Liberty Torch
Los Angeles Syndicate	Backyard	Movie Reel	Silver Screen
Las Vegas Mirage	Backyard	Neon Bolt	Desert Electricity
Chicago Surge	Backyard	Electric Spark	Teal Power
Boston Rebellion	Backyard	Tri-Corner Hat	Revolutionary
Toronto Blizzard	Backyard	Snowflake	Geometric Ice
Mexico City Sol	Backyard	Aztec Sun Stone	Solar Heritage
Seattle Echo	Backyard	Orca	Killer Whale
Philadelphia Spirit	Backyard	Liberty Bell	Independence
Dallas Flare	Backyard	Spur	Western Ranching
San Jose Relampago	Backyard	Cougar	Neon Lightning
Montreal Coureurs	Backyard	Canoe Paddle	Voyageur
Tijuana Vaqueros	Backyard	Bull	Cactus Strength
Washington Justice	Backyard	Scales of Justice	Civic Authority
Detroit Firebirds	Backyard	Phoenix	Urban Rebirth
Denver Torrent	Backyard	Mountain Peak	Purple Rain
