
============================== PRIME LEAGUE AUDIT ==============================

--- FWD RANKINGS (Efficiency + G/100) ---
Name                   | Rating | RRnk | Metric | MRnk | Net | Data
-----------------------------------------------------------------------------------------------
Park Hyeon-Bin         |  46.22 |    5 | 0.751 |    1 | +4  | G:24 SOG:47
Valeriu Florea         |  39.94 |   17 | 0.718 |    2 | +15 | G:19 SOG:36
Andrew Moore           |  42.94 |   12 | 0.693 |    3 | +9  | G:26 SOG:60
Antoine Gauthier       |  44.18 |    9 | 0.651 |    4 | +5  | G:22 SOG:51
Craig Young            |  38.90 |   23 | 0.630 |    5 | +18 | G:13 SOG:26
Diego Castillo         |  41.94 |   14 | 0.607 |    6 | +8  | G:23 SOG:61
Mohamed Alaoui         |  36.90 |   30 | 0.604 |    7 | +23 | G:16 SOG:36
Gustavo Suarez         |  46.48 |    3 | 0.578 |    8 | -5  | G:23 SOG:66
Olivier Rousseau       |  46.20 |    6 | 0.570 |    9 | -3  | G:16 SOG:39
Hernan Torres          |  39.12 |   22 | 0.552 |   10 | +12 | G:14 SOG:34
Leslie Knight          |  37.36 |   26 | 0.552 |   11 | +15 | G:14 SOG:34
Conor O'Sullivan       |  39.41 |   20 | 0.550 |   12 | +8  | G:16 SOG:41
Joao Pereira           |  39.87 |   18 | 0.549 |   13 | +5  | G:12 SOG:28
Gerhard Muller         |  42.44 |   13 | 0.541 |   14 | -1  | G:16 SOG:42
Marco Alvarez          |  43.42 |   10 | 0.524 |   15 | -5  | G:16 SOG:44
Dragan Petrovic        |  44.22 |    7 | 0.490 |   16 | -9  | G:18 SOG:58
Patrick Murray         |  37.93 |   24 | 0.487 |   17 | +7  | G:16 SOG:49
Manuel Castillo        |  37.15 |   28 | 0.485 |   18 | +10 | G:10 SOG:26
Jean-Pierre de Clercq  |  50.00 |    1 | 0.469 |   19 | -18 | G:15 SOG:47
Gustavo Techera        |  43.41 |   11 | 0.453 |   20 | -9  | G:12 SOG:36
Kwon Seung-Hyeok       |  46.46 |    4 | 0.447 |   21 | -17 | G:13 SOG:41
Marcos Aguilar         |  36.92 |   29 | 0.424 |   22 | +7  | G:11 SOG:35
Theo de Boer           |  35.83 |   32 | 0.424 |   23 | +9  | G:11 SOG:35
Dominique Girard       |  39.44 |   19 | 0.400 |   24 | -5  | G:8 SOG:25
Neil Griffith          |  44.19 |    8 | 0.399 |   25 | -17 | G:11 SOG:38
Carlos Acosta          |  39.14 |   21 | 0.399 |   26 | -5  | G:11 SOG:38
Jan van Dijk           |  41.19 |   15 | 0.376 |   27 | -12 | G:8 SOG:27
Mickael Caron          |  36.85 |   31 | 0.376 |   28 | +3  | G:6 SOG:19
Edmond Toska           |  37.16 |   27 | 0.350 |   29 | -2  | G:10 SOG:40
Colin Pugh             |  40.45 |   16 | 0.347 |   30 | -14 | G:9 SOG:35
Alain Goossens         |  37.40 |   25 | 0.338 |   31 | -6  | G:8 SOG:31
Richard van der Heijden |  46.72 |    2 | 0.282 |   32 | -30 | G:6 SOG:27

--- MID RANKINGS (Rel Production (G/avg + A/avg + S/avg)) ---
Name                   | Rating | RRnk | Metric | MRnk | Net | Data
-----------------------------------------------------------------------------------------------
Thierry Payet          |  41.73 |   11 | 4.723 |    1 | +10 | G:11 A:9 S:94
Bailey Myers-Morgan    |  40.45 |   15 | 4.555 |    2 | +13 | G:9 A:11 S:85
Edgar Jimenez          |  42.21 |   10 | 4.448 |    3 | +7  | G:10 A:11 S:68
Jurgen Richter         |  43.48 |    3 | 4.345 |    4 | -1  | G:8 A:13 S:63
Ramon Perdomo          |  42.44 |    9 | 4.239 |    5 | +4  | G:6 A:10 S:106
Casey Myers-Morgan     |  38.13 |   25 | 4.212 |    6 | +19 | G:9 A:4 S:131
Wolfgang Koch          |  46.75 |    1 | 4.087 |    7 | -6  | G:6 A:14 S:58
Ko Kamada              |  38.68 |   22 | 3.920 |    8 | +14 | G:9 A:10 S:55
Lisandro Romero        |  42.50 |    8 | 3.652 |    9 | -1  | G:7 A:10 S:59
Nigel Maharaj          |  42.72 |    6 | 3.588 |   10 | -4  | G:7 A:10 S:55
Eamon Murphy           |  38.94 |   21 | 3.579 |   11 | +10 | G:8 A:7 S:73
Dayot Hernandez        |  41.23 |   13 | 3.559 |   12 | +1  | G:10 A:7 S:51
Salisu Abdul Samed     |  37.20 |   32 | 3.462 |   13 | +19 | G:10 A:7 S:45
Sergio Baez            |  41.49 |   12 | 3.343 |   14 | -2  | G:7 A:8 S:59
Denis Chevalier        |  36.14 |   35 | 3.331 |   15 | +20 | G:5 A:8 S:79
Marc Watkins           |  39.62 |   18 | 3.203 |   16 | +2  | G:5 A:8 S:71
Jacques Lemaire        |  43.47 |    4 | 3.184 |   17 | -13 | G:7 A:5 S:78
Amadou Onana           |  37.82 |   29 | 3.094 |   18 | +11 | G:6 A:3 S:102
Ramos Marrero          |  36.10 |   36 | 3.061 |   19 | +17 | G:5 A:5 S:91
Rob Brouwer            |  33.02 |   40 | 3.036 |   20 | +20 | G:7 A:3 S:88
Elias Matsimbe         |  36.91 |   33 | 3.025 |   21 | +12 | G:3 A:9 S:71
Peter Meijer           |  36.66 |   34 | 3.015 |   22 | +12 | G:5 A:10 S:40
Adrian Llewellyn       |  42.70 |    7 | 2.990 |   23 | -16 | G:6 A:7 S:57
Stefan Winter          |  38.19 |   23 | 2.899 |   24 | -1  | G:5 A:8 S:52
Marc Renard            |  39.59 |   19 | 2.872 |   25 | -6  | G:5 A:7 S:60
Charles Stewart        |  31.85 |   42 | 2.797 |   26 | +16 | G:4 A:8 S:56
Stuart Holmes          |  40.74 |   14 | 2.775 |   27 | -13 | G:9 A:3 S:51
Fabian Gomez           |  37.66 |   30 | 2.774 |   28 | +2  | G:7 A:4 S:62
Jamie Price            |  30.76 |   45 | 2.760 |   29 | +16 | G:5 A:7 S:53
Mitchell Duke          |  37.90 |   27 | 2.642 |   30 | -3  | G:3 A:6 S:76
Gilberto Delgado       |  38.95 |   20 | 2.615 |   31 | -11 | G:2 A:7 S:75
Francisco Rodrigues    |  31.63 |   43 | 2.522 |   32 | +11 | G:3 A:10 S:30
Roy Foster             |  32.87 |   41 | 2.519 |   33 | +8  | G:8 A:2 S:55
Bernard Michel         |  42.75 |    5 | 2.489 |   34 | -29 | G:6 A:5 S:45
Edwin Ruiz             |  37.47 |   31 | 2.467 |   35 | -4  | G:6 A:6 S:34
Jeremie Frimpong       |  37.94 |   26 | 2.439 |   36 | -10 | G:8 A:2 S:50
