Team	League	Player Name	Position	Shot Prop
Stratton United	Prime	Wolfgang Koch	MID	14
Stratton United	Prime	Antoine Gauthier	FWD	25
Stratton United	Prime	Gustavo Techera	FWD	24
Stratton United	Prime	Christian Janssen	DEF	5
Stratton United	Prime	Edgar Jimenez	MID	13
Stratton United	Prime	Dayot Hernandez	MID	9
Stratton United	Prime	Gonzalo Machado	DEF	5
Stratton United	Prime	Trevor Shaw	DEF	5
Stratton United	Prime	Saïd Djaloud	GK	0
Haverford Black	Prime	Dragan Petrovic	FWD	28
Haverford Black	Prime	Andrew Moore	FWD	26
Haverford Black	Prime	Jurgen Richter	MID	13
Haverford Black	Prime	Jaime Riquelme	DEF	5
Haverford Black	Prime	Jose Lopes	GK	0
Haverford Black	Prime	Theo Tchouameni	DEF	5
Haverford Black	Prime	Ko Kamada	MID	11
Haverford Black	Prime	Charles Stewart	MID	7
Haverford Black	Prime	Murray Campbell	DEF	5
Stella Grey	Prime	Kwon Seung-Hyeok	FWD	27
Stella Grey	Prime	Park Hyeon-Bin	FWD	27
Stella Grey	Prime	Stephen Hunt	GK	0
Stella Grey	Prime	Wilhelm Schafer	DEF	5
Stella Grey	Prime	Clive Jones	DEF	5
Stella Grey	Prime	Gilberto Delgado	MID	10
Stella Grey	Prime	Salisu Abdul Samed	MID	12
Stella Grey	Prime	Gideon Seidu	DEF	5
Stella Grey	Prime	Juan Apaza	MID	9
Chateau Roux	Prime	Gustavo Suarez	FWD	28
Chateau Roux	Prime	Diego Castillo	FWD	26
Chateau Roux	Prime	Lisandro Romero	MID	10
Chateau Roux	Prime	Pierre Blanchard	GK	0
Chateau Roux	Prime	Bailey Myers-Morgan	MID	11
Chateau Roux	Prime	Casey Myers-Morgan	MID	10
Chateau Roux	Prime	Jeroen de Jong	DEF	5
Chateau Roux	Prime	Marcel Verhoeven	DEF	5
Chateau Roux	Prime	Claude Timmermans	DEF	5
Glass Castle FC	Prime	Richard van der Heijden	FWD	29
Glass Castle FC	Prime	Marco Alvarez	FWD	26
Glass Castle FC	Prime	Ekanit Yooyen	GK	0
Glass Castle FC	Prime	Marc Watkins	MID	14
Glass Castle FC	Prime	Zeljko Vukevic	MID	9
Glass Castle FC	Prime	Manfred Fischer	DEF	5
Glass Castle FC	Prime	Nigel Price	DEF	5
Glass Castle FC	Prime	Hans Weber	DEF	5
Glass Castle FC	Prime	Francisco Rodrigues	MID	7
Thurston FC East	Prime	Bernard Michel	MID	13
Thurston FC East	Prime	Nigel Maharaj	MID	14
Thurston FC East	Prime	Adrian Llewellyn	MID	14
Thurston FC East	Prime	Vitor Correia	DEF	5
Thurston FC East	Prime	Hernan Torres	FWD	23
Thurston FC East	Prime	Mbaye Cisse	DEF	5
Thurston FC East	Prime	Theo de Boer	FWD	21
Thurston FC East	Prime	Brahima Kamagate	GK	0
Thurston FC East	Prime	Terence Kane	DEF	5
Thurston FC West	Prime	Vincent van de Velde	MID	16
Thurston FC West	Prime	Antonio Rudiger	DEF	5
Thurston FC West	Prime	Ramon Perdomo	MID	11
Thurston FC West	Prime	Thierry Payet	MID	9
Thurston FC West	Prime	Conor O'Sullivan	FWD	24
Thurston FC West	Prime	Patrick Murray	FWD	25
Thurston FC West	Prime	Vicente Salazar	GK	0
Thurston FC West	Prime	Martijn van den Berg	DEF	5
Thurston FC West	Prime	Benoit Rousseau	DEF	5
Eisenwald 1900	Prime	Sergio Baez	MID	10
Eisenwald 1900	Prime	Valeriu Florea	FWD	27
Eisenwald 1900	Prime	Stuart Holmes	MID	15
Eisenwald 1900	Prime	Carlos Acosta	FWD	25
Eisenwald 1900	Prime	Radu Dragomir	GK	0
Eisenwald 1900	Prime	Rene Chevalier	DEF	5
Eisenwald 1900	Prime	Fabian Gomez	MID	8
Eisenwald 1900	Prime	Gavin Powell	DEF	5
Eisenwald 1900	Prime	Karl Meier	DEF	5
Askhatansa	Prime	Jean-Pierre de Clercq	FWD	29
Askhatansa	Prime	Neil Griffith	FWD	26
Askhatansa	Prime	Vicente Acuna	GK	0
Askhatansa	Prime	Peter Meijer	MID	14
Askhatansa	Prime	Desmond Bonnet	MID	9
Askhatansa	Prime	Roy Foster	MID	7
Askhatansa	Prime	Vu Hung Dung	DEF	5
Askhatansa	Prime	Hiroshi Itakura	DEF	5
Askhatansa	Prime	Young-gwon Hwang	DEF	5
Cheicester City	Prime	Olivier Rousseau	FWD	29
Cheicester City	Prime	Dominique Girard	FWD	28
Cheicester City	Prime	Jean Gauthier	DEF	5
Cheicester City	Prime	Marcel Kuiper	GK	0
Cheicester City	Prime	Jeremie Frimpong	MID	11
Cheicester City	Prime	Elias Matsimbe	MID	11
Cheicester City	Prime	Clive Moore	DEF	5
Cheicester City	Prime	Declan Burke	DEF	5
Cheicester City	Prime	Floyd Adebayor	MID	6
Barroclaugh Athletic	Prime	Jiri Novakova	GK	0
Barroclaugh Athletic	Prime	Manuel Castillo	FWD	24
