Team	Region	Off Rtg	Spd Rtg	Def Rtg	GK Rtg
Stratton United	Prime	7	10	9	4
Haverford Black	Prime	8	9	9	8
Stella Grey	Prime	8	9	7	9
Chateau Roux	Prime	8	9	7	8
Glass Castle FC	Prime	8	6	10	9
Thurston FC East	Prime	5	10	9	2
Thurston FC West	Prime	7	10	7	6
Eisenwald 1900	Prime	7	9	6	7
Askhatansa	Prime	9	7	4	8
Cheicester City	Prime	7	7	9	7
Barroclaugh Athletic	Prime	7	5	6	10
Havenpoort FC	Prime	5	8	6	7
Les Brasseurs	Prime	6	8	5	9
Corsaires de Calais	Prime	7	4	5	8
Stedham Journeymen	Prime	5	7	7	5
Celtic Cross FC	Prime	7	4	6	7
Imperiale Roma	Med	7	9	9	10
Castellano Madrid	Med	7	8	10	8
Al-Qahira FC	Med	9	5	9	8
Fursan al-Arab	Med	8	5	9	8
Catalonia Gothic	Med	7	9	7	5
Le Rocher Monaco	Med	9	8	5	6
Barbary Apes	Med	5	7	8	9
Olympias Athena	Med	4	6	6	10
Bosphorus Blue	Med	6	6	6	5
Visconti Serpents	Med	8	8	6	4
Lisbon United	Med	7	7	8	7
Lions of Carthage	Med	8	4	6	7
Najm al-Bayda	Med	7	7	7	7
Alexandria Faros	Med	5	7	8	4
Damascus Steel	Med	5	5	5	8
Tripoli Sporting	Med	6	6	4	7
Moscow Krepost	Euro	5	9	7	5
Slavutych Kyiv	Euro	8	6	7	7
Edelweiss Zurich	Euro	8	5	6	8
Stockholm United	Euro	7	5	7	6
Oslo Vikinger	Euro	7	5	7	7
Donau Wien	Euro	7	6	6	5
Dunav Belgrade	Euro	7	8	5	6
Sisu Helsinki	Euro	6	6	8	6
Kongens FC	Euro	4	5	5	9
Bohemian Gryphons	Euro	5	5	3	7
Korona Warsaw	Euro	5	6	7	8
Magyar Huszar	Euro	4	6	6	7
Bucharest International	Euro	6	4	8	5
Sarajevo Grad	Euro	6	4	3	7
Reykjavik Isbjorn	Euro	4	4	4	6
Slavia Tatry	Euro	4	3	5	6
New York Empire	Backyard	8	8	8	4
Los Angeles Syndicate	Backyard	7	7	5	8
Las Vegas Mirage	Backyard	8	7	8	8
Chicago Surge	Backyard	7	5	9	5
Boston Rebellion	Backyard	4	9	5	8
Toronto Blizzard	Backyard	5	8	8	7
Mexico City Sol	Backyard	7	8	6	5
Seattle Echo	Backyard	5	5	8	6
Philadelphia Spirit	Backyard	5	7	5	8
Dallas Flare	Backyard	9	4	5	5
San Jose Relampago	Backyard	7	3	5	6
Montreal Coureurs	Backyard	5	6	5	7
Tijuana Vaqueros	Backyard	6	7	5	6
Washington Justice	Backyard	5	2	7	6
Detroit Firebirds	Backyard	7	5	7	6
Denver Torrent	Backyard	3	6	7	5
