Position	Name	Country	SH	SP	DF	GK
FWD	Kwon Seung-Hyeok	South Korea	46	46	0	0
FWD	Park Hyeon-Bin	South Korea	47	42	0	0
MID	Jae-sung Kim	South Korea	34	24	34	0
MID	Kim Si-Yeon	South Korea	21	48	46	0
MID	Kim Min-Jun	South Korea	31	39	25	0
DEF	Young-gwon Hwang	South Korea	22	48	24	0
DEF	Song Do-Hu	South Korea	24	26	41	0
DEF	Park Jun-Seo	South Korea	25	25	46	0
GK	Nam Min-Jae	South Korea	0	0	39	42
FWD	Neil Griffith	England	44	43	0	0
FWD	Simon Knight	England	47	28	0	0
MID	Marc Watkins	England	37	37	46	0
MID	Benjamin Webb	England	35	20	42	0
MID	Stuart Holmes	England	39	49	24	0
DEF	Ollie Rice	England	26	48	31	0
DEF	Graham Chapman	England	21	40	27	0
DEF	Nigel Price	England	22	25	49	0
GK	Stephen Hunt	England	0	0	34	44
FWD	Andrew Moore	Australia	44	38	0	0
FWD	Thomas Martin	Australia	38	43	0	0
MID	Mitchell Duke	Australia	31	40	39	0
MID	David Kelly	Australia	32	22	29	0
MID	Greg Cooper	Australia	36	29	33	0
DEF	Harry Souttar	Australia	34	22	35	0
DEF	Darren King	Australia	36	43	32	0
DEF	Geoff Murphy	Australia	35	26	23	0
GK	Shane Taylor	Australia	0	0	34	32
FWD	Manoel Ribiero	Brazil	48	32	0	0
FWD	Joao Pereira	Brazil	37	47	0	0
MID	Gabriel Magalhaes	Brazil	33	40	36	0
MID	Luiz Gomes	Brazil	30	23	32	0
MID	Marcelo da Silva	Brazil	36	50	23	0
DEF	Lucas Luiz	Brazil	29	35	39	0
DEF	Rodrigo de Jesus	Brazil	26	47	49	0
DEF	Carlos Vieira	Brazil	24	33	31	0
GK	Jose Lopes	Brazil	0	0	39	43
FWD	Kjell Carlsson	Sweden	29	28	0	0
FWD	Nils Pettersson	Sweden	31	29	0	0
MID	Dejan Karlstrom	Sweden	27	23	25	0
MID	Anders Lindstrom	Sweden	30	36	27	0
MID	Fredrik Johansson	Sweden	28	34	32	0
DEF	Ludwig Augustinsson	Sweden	22	30	32	0
DEF	Lars Jonsson	Sweden	26	36	34	0
DEF	Karl Olsson	Sweden	30	26	43	0
GK	Sven Sjoberg	Sweden	0	0	23	44
FWD	Jean-Pierre de Clercq	Belgium	50	48	0	0
FWD	Alain Goossens	Belgium	40	28	0	0
MID	Amadou Onana	Belgium	39	32	47	0
MID	Vincent van de Velde	Belgium	46	50	26	0
MID	Marc Renard	Belgium	45	34	44	0
DEF	Timothy Theate	Belgium	35	46	30	0
DEF	Geert Verhoeven	Belgium	33	25	35	0
DEF	Christian Janssen	Belgium	29	48	47	0
GK	Eddy van den Broeck	Belgium	0	0	24	42
FWD	Cesar Paredes	Ecuador	46	26	0	0
FWD	Manuel Castillo	Ecuador	40	27	0	0
MID	Kendry Torres	Ecuador	29	28	25	0
MID	Ramon Jaramillo	Ecuador	30	23	26	0
MID	Jorge Molina	Ecuador	33	42	20	0
DEF	Willian Pacho	Ecuador	28	37	33	0
DEF	David Chavez	Ecuador	29	31	37	0
DEF	Carlos Mendoza	Ecuador	31	35	32	0
GK	Vicente Salazar	Ecuador	0	0	37	39
FWD	Yahaya Saidu	Nigeria	29	30	0	0
FWD	Yusuf Aliyu	Nigeria	33	20	0	0
MID	Samuel Ajayi	Nigeria	23	21	27	0
MID	Sani Hassan	Nigeria	22	29	34	0
MID	Musa Musa	Nigeria	28	43	23	0
DEF	Semi Moffi	Nigeria	24	29	21	0
DEF	Umar Abubakar	Nigeria	26	22	32	0
DEF	Moses Okeke	Nigeria	28	42	24	0
GK	Sunday Eze	Nigeria	0	0	23	31
FWD	Papa	Senegal	34	31	0	0
FWD	Ousmane Diop	Senegal	27	37	0	0
MID	Kalidou Koulibaly	Senegal	27	43	45	0
MID	Samba Sene	Senegal	31	29	23	0
MID	Elhadji Ka	Senegal	28	22	28	0
DEF	Abdou Gueye	Senegal	21	20	26	0
DEF	Cheikh Diagne	Senegal	20	28	25	0
DEF	Mbaye Cisse	Senegal	24	39	45	0
GK	Mo Diallo	Senegal	0	0	28	38
FWD	Peter Buhler	Switzerland	40	43	0	0
FWD	Andreas Wyss	Switzerland	45	35	0	0
MID	Ruben Schar	Switzerland	28	47	37	0
MID	Werner Frei	Switzerland	31	36	32	0
MID	Stefan Meier	Switzerland	40	29	22	0
DEF	Silvan Widmer	Switzerland	26	33	24	0
DEF	Marcel Roth	Switzerland	30	37	27	0
DEF	Rolf Bachmann	Switzerland	29	40	34	0
GK	Markus Schneider	Switzerland	0	0	23	40
FWD	Nasir Siddiqui	Saudi Arabia	32	36	0	0
FWD	Nabeel Saad	Saudi Arabia	31	22	0	0
MID	Ali Al-Malki	Saudi Arabia	23	26	32	0
MID	Tareq Al-Ghamdi	Saudi Arabia	30	33	25	0
MID	Shahid Khan	Saudi Arabia	34	30	30	0
DEF	Mohamed Tambakti	Saudi Arabia	21	39	23	0
DEF	Atif Omar	Saudi Arabia	23	30	24	0
DEF	Zuhair Hassan	Saudi Arabia	26	36	35	0
GK	Hany Alzahrani	Saudi Arabia	0	0	22	31
FWD	Pawel Lewandowski	Poland	47	25	0	0
FWD	Grzegorz Kowalski	Poland	37	26	0	0
MID	Jan Frankowski	Poland	31	26	27	0
